Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp
ASO204-238_WT_1.2-9_20210701,K19,ASO234_3,KQ235_L20_5-10-5_3uM_P1.2-8,30.31644725,23.1703051,7.15,,,,-0.14,-0.15,1.11
ASO204-238_WT_1.2-9_20210701,K20,ASO234_3,KQ235_L20_5-10-5_3uM_P1.2-8,30.37935573,23.17234232,7.21,,,,-0.08,,
ASO204-238_WT_1.2-9_20210701,K21,ASO234_3,KQ235_L20_5-10-5_3uM_P1.2-8,30.29083271,23.22485947,7.07,,,,-0.22,,
ASO204-238_WT_1.2-9_20210701,K22,ASO234_3,KQ235_L20_5-10-5_3uM_P1.2-8,30.22145002,23.11543874,7.11,,,,-0.18,-0.23,1.17
ASO204-238_WT_1.2-9_20210701,K23,ASO234_3,KQ235_L20_5-10-5_3uM_P1.2-8,30.18331649,23.12311197,7.06,,,,-0.23,,
ASO204-238_WT_1.2-9_20210701,K24,ASO234_3,KQ235_L20_5-10-5_3uM_P1.2-8,30.2002041,23.18451557,7.02,,,,-0.27,,
ASO204-238_WT_1.2-9_20210701,L1,ASO210_10,KQ271_L20_5-10-5_10uM_P1.2-8,31.85912633,24.23816396,7.62,,,,0.34,0.31,0.80
ASO204-238_WT_1.2-9_20210701,L2,ASO210_10,KQ271_L20_5-10-5_10uM_P1.2-8,31.91445428,24.19736574,7.72,,,,0.43,,
ASO204-238_WT_1.2-9_20210701,L3,ASO210_10,KQ271_L20_5-10-5_10uM_P1.2-8,31.61631062,24.15785387,7.46,,,,0.17,,
ASO204-238_WT_1.2-9_20210701,L4,ASO210_10,KQ271_L20_5-10-5_10uM_P1.2-8,32.10378068,24.68814031,7.42,,,,0.13,0.10,0.93
ASO204-238_WT_1.2-9_20210701,L5,ASO210_10,KQ271_L20_5-10-5_10uM_P1.2-8,31.98972268,24.6915705,7.30,,,,0.01,,
ASO204-238_WT_1.2-9_20210701,L6,ASO210_10,KQ271_L20_5-10-5_10uM_P1.2-8,32.23634641,24.77897312,7.46,,,,0.17,,
ASO204-238_WT_1.2-9_20210701,L7,ASO210_3,KQ271_L20_5-10-5_3uM_P1.2-8,30.91129298,23.50036587,7.41,,,,0.13,0.21,0.87
ASO204-238_WT_1.2-9_20210701,L8,ASO210_3,KQ271_L20_5-10-5_3uM_P1.2-8,31.04230043,23.41458559,7.63,,,,0.34,,
ASO204-238_WT_1.2-9_20210701,L9,ASO210_3,KQ271_L20_5-10-5_3uM_P1.2-8,30.86014572,23.42382281,7.44,,,,0.15,,
ASO204-238_WT_1.2-9_20210701,L10,ASO210_3,KQ271_L20_5-10-5_3uM_P1.2-8,31.00527313,23.54857164,7.46,,,,0.17,0.10,0.93
ASO204-238_WT_1.2-9_20210701,L11,ASO210_3,KQ271_L20_5-10-5_3uM_P1.2-8,30.93847159,23.54619259,7.39,,,,0.11,,
ASO204-238_WT_1.2-9_20210701,L12,ASO210_3,KQ271_L20_5-10-5_3uM_P1.2-8,30.93086411,23.6135589,7.32,,,,0.03,,
ASO204-238_WT_1.2-9_20210701,L13,ASO235_10,KQ1003_L20_5-10-5_10uM_P1.2-8,33.25766982,26.29275773,6.96,,,,-0.32,0.01,0.99
ASO204-238_WT_1.2-9_20210701,L14,ASO235_10,KQ1003_L20_5-10-5_10uM_P1.2-8,32.78481234,26.25698465,6.53,,,,-0.76,,
ASO204-238_WT_1.2-9_20210701,L15,ASO235_10,KQ1003_L20_5-10-5_10uM_P1.2-8,33.15654708,24.74719028,8.41,,,,1.12,,
ASO204-238_WT_1.2-9_20210701,L16,ASO235_10,KQ1003_L20_5-10-5_10uM_P1.2-8,34.31128442,28.43899117,5.87,,,,-1.41,-0.43,1.35
ASO204-238_WT_1.2-9_20210701,L17,ASO235_10,KQ1003_L20_5-10-5_10uM_P1.2-8,35.20933458,28.03120567,7.18,,,,-0.11,,
ASO204-238_WT_1.2-9_20210701,L18,ASO235_10,KQ1003_L20_5-10-5_10uM_P1.2-8,35.76632694,28.25544631,7.51,,,,0.22,,
ASO204-238_WT_1.2-9_20210701,L19,ASO235_3,KQ1003_L20_5-10-5_3uM_P1.2-8,30.08686834,23.34899537,6.74,,,,-0.55,-0.54,1.45
ASO204-238_WT_1.2-9_20210701,L20,ASO235_3,KQ1003_L20_5-10-5_3uM_P1.2-8,30.11572054,23.34581342,6.77,,,,-0.52,,
ASO204-238_WT_1.2-9_20210701,L21,ASO235_3,KQ1003_L20_5-10-5_3uM_P1.2-8,30.1694106,23.44121283,6.73,,,,-0.56,,
ASO204-238_WT_1.2-9_20210701,L22,ASO235_3,KQ1003_L20_5-10-5_3uM_P1.2-8,30.1775416,23.34178981,6.84,,,,-0.45,-0.49,1.40
ASO204-238_WT_1.2-9_20210701,L23,ASO235_3,KQ1003_L20_5-10-5_3uM_P1.2-8,30.14877953,23.36141219,6.79,,,,-0.50,,
ASO204-238_WT_1.2-9_20210701,L24,ASO235_3,KQ1003_L20_5-10-5_3uM_P1.2-8,30.19742544,23.4246967,6.77,,,,-0.51,,
ASO204-238_WT_1.2-9_20210701,M1,ASO229_10,KQ1002_L20_5-10-5_10uM_P1.2-8,39.07425521,32.27039396,6.80,,,,-0.48,-1.99,3.97
ASO204-238_WT_1.2-9_20210701,M2,ASO229_10,KQ1002_L20_5-10-5_10uM_P1.2-8,37.40459592,33.0240183,4.38,,,,-2.91,,
ASO204-238_WT_1.2-9_20210701,M3,ASO229_10,KQ1002_L20_5-10-5_10uM_P1.2-8,37.69305227,32.98237882,4.71,,,,-2.58,,
ASO204-238_WT_1.2-9_20210701,M4,ASO229_10,KQ1002_L20_5-10-5_10uM_P1.2-8,36.54917241,29.74153565,6.81,,,,-0.48,-1.00,2.00
ASO204-238_WT_1.2-9_20210701,M5,ASO229_10,KQ1002_L20_5-10-5_10uM_P1.2-8,35.98444286,29.81019349,6.17,,,,-1.11,,
ASO204-238_WT_1.2-9_20210701,M6,ASO229_10,KQ1002_L20_5-10-5_10uM_P1.2-8,35.75445064,29.88706353,5.87,,,,-1.42,,
ASO204-238_WT_1.2-9_20210701,M7,ASO229_3,KQ1002_L20_5-10-5_3uM_P1.2-8,34.21115298,28.10545199,6.11,,,,-1.18,-1.14,2.20
ASO204-238_WT_1.2-9_20210701,M8,ASO229_3,KQ1002_L20_5-10-5_3uM_P1.2-8,34.06860723,28.05193505,6.02,,,,-1.27,,
ASO204-238_WT_1.2-9_20210701,M9,ASO229_3,KQ1002_L20_5-10-5_3uM_P1.2-8,34.47444166,28.15640559,6.32,,,,-0.97,,
ASO204-238_WT_1.2-9_20210701,M10,ASO229_3,KQ1002_L20_5-10-5_3uM_P1.2-8,33.78117982,27.40173195,6.38,,,,-0.91,-0.88,1.85
ASO204-238_WT_1.2-9_20210701,M11,ASO229_3,KQ1002_L20_5-10-5_3uM_P1.2-8,34.08515675,27.52592936,6.56,,,,-0.73,,
ASO204-238_WT_1.2-9_20210701,M12,ASO229_3,KQ1002_L20_5-10-5_3uM_P1.2-8,33.66360317,27.39942577,6.26,,,,-1.02,,
ASO204-238_WT_1.2-9_20210701,M13,ASO237_10,KQ520_L20_5-10-5_10uM_P1.2-8,33.62812053,26.24997011,7.38,,,,0.09,0.22,0.86
ASO204-238_WT_1.2-9_20210701,M14,ASO237_10,KQ520_L20_5-10-5_10uM_P1.2-8,33.68160197,26.28311126,7.40,,,,0.11,,
ASO204-238_WT_1.2-9_20210701,M15,ASO237_10,KQ520_L20_5-10-5_10uM_P1.2-8,34.04108922,26.28974559,7.75,,,,0.47,,
ASO204-238_WT_1.2-9_20210701,M16,ASO237_10,KQ520_L20_5-10-5_10uM_P1.2-8,33.61823607,26.7956493,6.82,,,,-0.46,-0.20,1.15
ASO204-238_WT_1.2-9_20210701,M17,ASO237_10,KQ520_L20_5-10-5_10uM_P1.2-8,34.03129106,26.7926503,7.24,,,,-0.05,,
ASO204-238_WT_1.2-9_20210701,M18,ASO237_10,KQ520_L20_5-10-5_10uM_P1.2-8,34.00712147,26.81055439,7.20,,,,-0.09,,
ASO204-238_WT_1.2-9_20210701,M19,ASO237_3,KQ520_L20_5-10-5_3uM_P1.2-8,29.47247623,22.53016835,6.94,,,,-0.34,-0.39,1.31
ASO204-238_WT_1.2-9_20210701,M20,ASO237_3,KQ520_L20_5-10-5_3uM_P1.2-8,29.4013521,22.57604252,6.83,,,,-0.46,,
ASO204-238_WT_1.2-9_20210701,M21,ASO237_3,KQ520_L20_5-10-5_3uM_P1.2-8,29.5609359,22.63091263,6.93,,,,-0.36,,
ASO204-238_WT_1.2-9_20210701,M22,ASO237_3,KQ520_L20_5-10-5_3uM_P1.2-8,29.29955304,22.54698108,6.75,,,,-0.53,-0.44,1.36
ASO204-238_WT_1.2-9_20210701,M23,ASO237_3,KQ520_L20_5-10-5_3uM_P1.2-8,29.40455668,22.55584099,6.85,,,,-0.44,,
ASO204-238_WT_1.2-9_20210701,M24,ASO237_3,KQ520_L20_5-10-5_3uM_P1.2-8,29.53119037,22.60632876,6.92,,,,-0.36,,
ASO204-238_WT_1.2-9_20210701,N1,ASO231_10,KQ513_L20_5-10-5_10uM_P1.2-8,31.27649672,23.99795231,7.28,,,,-0.01,-0.05,1.03
ASO204-238_WT_1.2-9_20210701,N2,ASO231_10,KQ513_L20_5-10-5_10uM_P1.2-8,31.2195316,24.00942691,7.21,,,,-0.08,,
