Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp
ASO1-95_MT_1.2-6_20210630,L1,ASO37_10,KQ258_L20_5-10-5_10uM_P1.2-2,34.93,26.27,8.65,,,,0.55,0.99,0.50
ASO1-95_MT_1.2-6_20210630,L2,ASO37_10,KQ258_L20_5-10-5_10uM_P1.2-2,35.53,26.23,9.29,,,,1.19,,
ASO1-95_MT_1.2-6_20210630,L3,ASO37_10,KQ258_L20_5-10-5_10uM_P1.2-2,35.58,26.22,9.36,,,,1.25,,
ASO1-95_MT_1.2-6_20210630,L4,ASO37_10,KQ258_L20_5-10-5_10uM_P1.2-2,35.53,26.23,9.30,,,,1.20,1.31,0.40
ASO1-95_MT_1.2-6_20210630,L5,ASO37_10,KQ258_L20_5-10-5_10uM_P1.2-2,35.48,26.17,9.31,,,,1.20,,
ASO1-95_MT_1.2-6_20210630,L6,ASO37_10,KQ258_L20_5-10-5_10uM_P1.2-2,35.89,26.24,9.65,,,,1.54,,
ASO1-95_MT_1.2-6_20210630,L7,ASO37_3,KQ258_L20_5-10-5_3uM_P1.2-2,34.25,25.00,9.25,,,,1.14,1.22,0.43
ASO1-95_MT_1.2-6_20210630,L8,ASO37_3,KQ258_L20_5-10-5_3uM_P1.2-2,34.48,25.01,9.47,,,,1.37,,
ASO1-95_MT_1.2-6_20210630,L9,ASO37_3,KQ258_L20_5-10-5_3uM_P1.2-2,34.32,25.05,9.27,,,,1.16,,
ASO1-95_MT_1.2-6_20210630,L10,ASO37_3,KQ258_L20_5-10-5_3uM_P1.2-2,34.79,26.42,8.37,,,,0.26,0.35,0.78
ASO1-95_MT_1.2-6_20210630,L11,ASO37_3,KQ258_L20_5-10-5_3uM_P1.2-2,34.28,26.44,7.84,,,,-0.27,,
ASO1-95_MT_1.2-6_20210630,L12,ASO37_3,KQ258_L20_5-10-5_3uM_P1.2-2,35.69,26.53,9.16,,,,1.05,,
ASO1-95_MT_1.2-6_20210630,L13,ASO61_10,KQ920_L20_5-10-5_10uM_P1.2-2,33.88,26.10,7.78,,,,-0.33,-0.29,1.22
ASO1-95_MT_1.2-6_20210630,L14,ASO61_10,KQ920_L20_5-10-5_10uM_P1.2-2,33.81,26.14,7.67,,,,-0.44,,
ASO1-95_MT_1.2-6_20210630,L15,ASO61_10,KQ920_L20_5-10-5_10uM_P1.2-2,34.29,26.29,8.00,,,,-0.10,,
ASO1-95_MT_1.2-6_20210630,L16,ASO61_10,KQ920_L20_5-10-5_10uM_P1.2-2,35.09,25.92,9.17,,,,1.06,0.97,0.51
ASO1-95_MT_1.2-6_20210630,L17,ASO61_10,KQ920_L20_5-10-5_10uM_P1.2-2,34.91,25.92,8.98,,,,0.88,,
ASO1-95_MT_1.2-6_20210630,L18,ASO61_10,KQ920_L20_5-10-5_10uM_P1.2-2,35.04,25.97,9.07,,,,0.97,,
ASO1-95_MT_1.2-6_20210630,L19,ASO61_3,KQ920_L20_5-10-5_3uM_P1.2-2,34.05,25.28,8.77,,,,0.66,1.02,0.49
ASO1-95_MT_1.2-6_20210630,L20,ASO61_3,KQ920_L20_5-10-5_3uM_P1.2-2,34.73,25.12,9.62,,,,1.51,,
ASO1-95_MT_1.2-6_20210630,L21,ASO61_3,KQ920_L20_5-10-5_3uM_P1.2-2,34.21,25.20,9.00,,,,0.90,,
ASO1-95_MT_1.2-6_20210630,L22,ASO61_3,KQ920_L20_5-10-5_3uM_P1.2-2,34.38,25.76,8.62,,,,0.51,0.43,0.74
ASO1-95_MT_1.2-6_20210630,L23,ASO61_3,KQ920_L20_5-10-5_3uM_P1.2-2,34.06,25.77,8.30,,,,0.19,,
ASO1-95_MT_1.2-6_20210630,L24,ASO61_3,KQ920_L20_5-10-5_3uM_P1.2-2,34.55,25.87,8.68,,,,0.58,,
ASO1-95_MT_1.2-6_20210630,M1,ASO38_10,KQ332_L20_5-10-5_10uM_P1.2-2,35.47,25.53,9.94,,,,1.83,1.92,0.26
ASO1-95_MT_1.2-6_20210630,M2,ASO38_10,KQ332_L20_5-10-5_10uM_P1.2-2,36.10,25.49,10.62,,,,2.51,,
ASO1-95_MT_1.2-6_20210630,M3,ASO38_10,KQ332_L20_5-10-5_10uM_P1.2-2,35.05,25.53,9.52,,,,1.42,,
ASO1-95_MT_1.2-6_20210630,M4,ASO38_10,KQ332_L20_5-10-5_10uM_P1.2-2,35.12,25.89,9.22,,,,1.12,0.64,0.64
ASO1-95_MT_1.2-6_20210630,M5,ASO38_10,KQ332_L20_5-10-5_10uM_P1.2-2,34.30,25.92,8.38,,,,0.27,,
ASO1-95_MT_1.2-6_20210630,M6,ASO38_10,KQ332_L20_5-10-5_10uM_P1.2-2,34.54,25.90,8.65,,,,0.54,,
ASO1-95_MT_1.2-6_20210630,M7,ASO38_3,KQ332_L20_5-10-5_3uM_P1.2-2,34.95,26.17,8.79,,,,0.68,0.66,0.63
ASO1-95_MT_1.2-6_20210630,M8,ASO38_3,KQ332_L20_5-10-5_3uM_P1.2-2,34.96,26.13,8.83,,,,0.72,,
ASO1-95_MT_1.2-6_20210630,M9,ASO38_3,KQ332_L20_5-10-5_3uM_P1.2-2,34.83,26.15,8.68,,,,0.57,,
ASO1-95_MT_1.2-6_20210630,M10,ASO38_3,KQ332_L20_5-10-5_3uM_P1.2-2,34.21,25.97,8.23,,,,0.13,-0.06,1.04
ASO1-95_MT_1.2-6_20210630,M11,ASO38_3,KQ332_L20_5-10-5_3uM_P1.2-2,33.86,25.97,7.89,,,,-0.21,,
ASO1-95_MT_1.2-6_20210630,M12,ASO38_3,KQ332_L20_5-10-5_3uM_P1.2-2,34.00,25.98,8.02,,,,-0.09,,
ASO1-95_MT_1.2-6_20210630,M13,ASO62_10,KQ830_L20_5-10-5_10uM_P1.2-2,34.02,25.95,8.07,,,,-0.03,-0.37,1.30
ASO1-95_MT_1.2-6_20210630,M14,ASO62_10,KQ830_L20_5-10-5_10uM_P1.2-2,33.68,26.00,7.69,,,,-0.42,,
ASO1-95_MT_1.2-6_20210630,M15,ASO62_10,KQ830_L20_5-10-5_10uM_P1.2-2,33.53,26.09,7.44,,,,-0.67,,
ASO1-95_MT_1.2-6_20210630,M16,ASO62_10,KQ830_L20_5-10-5_10uM_P1.2-2,34.15,25.94,8.22,,,,0.11,-0.24,1.18
ASO1-95_MT_1.2-6_20210630,M17,ASO62_10,KQ830_L20_5-10-5_10uM_P1.2-2,33.88,25.89,7.99,,,,-0.11,,
ASO1-95_MT_1.2-6_20210630,M18,ASO62_10,KQ830_L20_5-10-5_10uM_P1.2-2,33.38,25.99,7.39,,,,-0.72,,
