Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp,,,
ASO268-186_MT_1.2-8_20210701,C24,ASO277_3,KQJM020_L22_7-08-7_3uM_P1.2-5,30.86565542,22.86049699,8.01,,,,0.58,,,,,
ASO268-186_MT_1.2-8_20210701,D1,ASO271_10,KQJM014_L20_6-08-6_10uM_P1.2-5,31.02147362,23.7557072,7.27,,,,-0.16,-0.12,1.08,,,
ASO268-186_MT_1.2-8_20210701,D2,ASO271_10,KQJM014_L20_6-08-6_10uM_P1.2-5,31.02485419,23.74031485,7.28,,,,-0.15,,,,,
ASO268-186_MT_1.2-8_20210701,D3,ASO271_10,KQJM014_L20_6-08-6_10uM_P1.2-5,31.21367468,23.82378227,7.39,,,,-0.04,,,,,
ASO268-186_MT_1.2-8_20210701,D4,ASO271_10,KQJM014_L20_6-08-6_10uM_P1.2-5,31.21870435,23.80772161,7.41,,,,-0.02,-0.12,1.08,,,
ASO268-186_MT_1.2-8_20210701,D5,ASO271_10,KQJM014_L20_6-08-6_10uM_P1.2-5,31.13622937,23.84712881,7.29,,,,-0.14,,,,,
ASO268-186_MT_1.2-8_20210701,D6,ASO271_10,KQJM014_L20_6-08-6_10uM_P1.2-5,31.11866911,23.8820068,7.24,,,,-0.19,,,,,
ASO268-186_MT_1.2-8_20210701,D7,ASO271_3,KQJM014_L20_6-08-6_3uM_P1.2-5,30.21326116,22.82182683,7.39,,,,-0.04,-0.05,1.04,,,
ASO268-186_MT_1.2-8_20210701,D8,ASO271_3,KQJM014_L20_6-08-6_3uM_P1.2-5,30.18678281,22.81640186,7.37,,,,-0.06,,,,,
ASO268-186_MT_1.2-8_20210701,D9,ASO271_3,KQJM014_L20_6-08-6_3uM_P1.2-5,30.2583164,22.88985895,7.37,,,,-0.06,,,,,
ASO268-186_MT_1.2-8_20210701,D10,ASO271_3,KQJM014_L20_6-08-6_3uM_P1.2-5,30.57692777,22.94827388,7.63,,,,0.20,0.18,0.88,,,
ASO268-186_MT_1.2-8_20210701,D11,ASO271_3,KQJM014_L20_6-08-6_3uM_P1.2-5,30.54340875,22.99026557,7.55,,,,0.12,,,,,
ASO268-186_MT_1.2-8_20210701,D12,ASO271_3,KQJM014_L20_6-08-6_3uM_P1.2-5,30.71068986,23.05357607,7.66,,,,0.23,,,,,
ASO268-186_MT_1.2-8_20210701,D13,ASO278_10,KQJM021_L17_4-10-3_10uM_P1.2-5,30.83444089,22.79811325,8.04,,,,0.61,0.62,0.65,,,
ASO268-186_MT_1.2-8_20210701,D14,ASO278_10,KQJM021_L17_4-10-3_10uM_P1.2-5,30.88653004,22.8161426,8.07,,,,0.64,,,,,
ASO268-186_MT_1.2-8_20210701,D15,ASO278_10,KQJM021_L17_4-10-3_10uM_P1.2-5,30.92225664,22.88485991,8.04,,,,0.61,,,,,
ASO268-186_MT_1.2-8_20210701,D16,ASO278_10,KQJM021_L17_4-10-3_10uM_P1.2-5,30.11324243,22.32559716,7.79,,,,0.36,0.36,0.78,,,
ASO268-186_MT_1.2-8_20210701,D17,ASO278_10,KQJM021_L17_4-10-3_10uM_P1.2-5,30.09235404,22.30958559,7.78,,,,0.35,,,,,
ASO268-186_MT_1.2-8_20210701,D18,ASO278_10,KQJM021_L17_4-10-3_10uM_P1.2-5,30.15542341,22.36266145,7.79,,,,0.36,,,,,
ASO268-186_MT_1.2-8_20210701,D19,ASO278_3,KQJM021_L17_4-10-3_3uM_P1.2-5,30.15200797,22.57653889,7.58,,,,0.15,0.14,0.90,,,
ASO268-186_MT_1.2-8_20210701,D20,ASO278_3,KQJM021_L17_4-10-3_3uM_P1.2-5,30.10814153,22.57971606,7.53,,,,0.10,,,,,
ASO268-186_MT_1.2-8_20210701,D21,ASO278_3,KQJM021_L17_4-10-3_3uM_P1.2-5,30.24183682,22.6219727,7.62,,,,0.19,,,,,
ASO268-186_MT_1.2-8_20210701,D22,ASO278_3,KQJM021_L17_4-10-3_3uM_P1.2-5,30.24957218,22.6583934,7.59,,,,0.16,0.21,0.86,,,
ASO268-186_MT_1.2-8_20210701,D23,ASO278_3,KQJM021_L17_4-10-3_3uM_P1.2-5,30.19952289,22.6773232,7.52,,,,0.09,,,,,
ASO268-186_MT_1.2-8_20210701,D24,ASO278_3,KQJM021_L17_4-10-3_3uM_P1.2-5,30.49694898,22.68844561,7.81,,,,0.38,,,,,
ASO268-186_MT_1.2-8_20210701,E1,ASO272_10,KQJM015_L18_5-08-5_10uM_P1.2-5,31.7474223,23.8835076,7.86,,,,0.43,0.41,0.75,,,
ASO268-186_MT_1.2-8_20210701,E2,ASO272_10,KQJM015_L18_5-08-5_10uM_P1.2-5,31.86888718,23.96781024,7.90,,,,0.47,,,,,
ASO268-186_MT_1.2-8_20210701,E3,ASO272_10,KQJM015_L18_5-08-5_10uM_P1.2-5,31.74726306,24.00081099,7.75,,,,0.32,,,,,
ASO268-186_MT_1.2-8_20210701,E4,ASO272_10,KQJM015_L18_5-08-5_10uM_P1.2-5,30.76881738,23.04008786,7.73,,,,0.30,0.33,0.80,,,
ASO268-186_MT_1.2-8_20210701,E5,ASO272_10,KQJM015_L18_5-08-5_10uM_P1.2-5,30.73424058,23.0700419,7.66,,,,0.23,,,,,
ASO268-186_MT_1.2-8_20210701,E6,ASO272_10,KQJM015_L18_5-08-5_10uM_P1.2-5,31.00082385,23.1254132,7.88,,,,0.45,,,,,
ASO268-186_MT_1.2-8_20210701,E7,ASO272_3,KQJM015_L18_5-08-5_3uM_P1.2-5,30.38101902,22.76159884,7.62,,,,0.19,0.40,0.76,,,
ASO268-186_MT_1.2-8_20210701,E8,ASO272_3,KQJM015_L18_5-08-5_3uM_P1.2-5,30.63138526,22.7378787,7.89,,,,0.46,,,,,
ASO268-186_MT_1.2-8_20210701,E9,ASO272_3,KQJM015_L18_5-08-5_3uM_P1.2-5,30.80770812,22.83603299,7.97,,,,0.54,,,,,
ASO268-186_MT_1.2-8_20210701,E10,ASO272_3,KQJM015_L18_5-08-5_3uM_P1.2-5,30.96274727,23.29475022,7.67,,,,0.24,0.38,0.77,,,
ASO268-186_MT_1.2-8_20210701,E11,ASO272_3,KQJM015_L18_5-08-5_3uM_P1.2-5,31.24012977,23.32492815,7.92,,,,0.49,,,,,
ASO268-186_MT_1.2-8_20210701,E12,ASO272_3,KQJM015_L18_5-08-5_3uM_P1.2-5,31.2374521,23.38662239,7.85,,,,0.42,,,,,
ASO268-186_MT_1.2-8_20210701,E13,ASO280_10,KQJM023_L17_4-10-3_10uM_P1.2-5,30.4858836,22.70721053,7.78,,,,0.35,0.37,0.77,,,
ASO268-186_MT_1.2-8_20210701,E14,ASO280_10,KQJM023_L17_4-10-3_10uM_P1.2-5,30.52483267,22.71100557,7.81,,,,0.38,,,,,
ASO268-186_MT_1.2-8_20210701,E15,ASO280_10,KQJM023_L17_4-10-3_10uM_P1.2-5,30.56246883,22.7500417,7.81,,,,0.38,,,,,
ASO268-186_MT_1.2-8_20210701,E16,ASO280_10,KQJM023_L17_4-10-3_10uM_P1.2-5,30.36717413,22.58822309,7.78,,,,0.35,0.35,0.78,,,
ASO268-186_MT_1.2-8_20210701,E17,ASO280_10,KQJM023_L17_4-10-3_10uM_P1.2-5,30.31848403,22.63090277,7.69,,,,0.26,,,,,
ASO268-186_MT_1.2-8_20210701,E18,ASO280_10,KQJM023_L17_4-10-3_10uM_P1.2-5,30.55691633,22.68139595,7.88,,,,0.45,,,,,
ASO268-186_MT_1.2-8_20210701,E19,ASO280_3,KQJM023_L17_4-10-3_3uM_P1.2-5,30.5639498,22.61917943,7.94,,,,0.52,0.47,0.72,,,
ASO268-186_MT_1.2-8_20210701,E20,ASO280_3,KQJM023_L17_4-10-3_3uM_P1.2-5,30.49614011,22.64916064,7.85,,,,0.42,,,,,
ASO268-186_MT_1.2-8_20210701,E21,ASO280_3,KQJM023_L17_4-10-3_3uM_P1.2-5,30.60552963,22.69499045,7.91,,,,0.48,,,,,
ASO268-186_MT_1.2-8_20210701,E22,ASO280_3,KQJM023_L17_4-10-3_3uM_P1.2-5,30.53652655,22.5590548,7.98,,,,0.55,0.59,0.66,,,
ASO268-186_MT_1.2-8_20210701,E23,ASO280_3,KQJM023_L17_4-10-3_3uM_P1.2-5,30.53585034,22.54222321,7.99,,,,0.56,,,,,
ASO268-186_MT_1.2-8_20210701,E24,ASO280_3,KQJM023_L17_4-10-3_3uM_P1.2-5,30.71314839,22.6261667,8.09,,,,0.66,,,,,
ASO268-186_MT_1.2-8_20210701,F1,ASO274_10,KQJM017_L19_6-08-5_10uM_P1.2-5,31.48239978,23.84025836,7.64,,,,0.21,0.14,0.91,,,
ASO268-186_MT_1.2-8_20210701,F2,ASO274_10,KQJM017_L19_6-08-5_10uM_P1.2-5,31.5556446,23.99447829,7.56,,,,0.13,,,,,
ASO268-186_MT_1.2-8_20210701,F3,ASO274_10,KQJM017_L19_6-08-5_10uM_P1.2-5,31.53730337,24.04032177,7.50,,,,0.07,,,,,
