Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt from Naive,Exp from Naive,Avg dCt Ionis676630,ddCt,Exp,Exp_std,Exp_zscore
R3.1 P1-1+P1-2_Total_20210826,N3,ASO567_10_R3.1P1-2,KQ2204_L20_6-08-6_10uM_R3.1P1-2,6.919378139607701,1.226209384171093,0.42743904848468917,5.989996931438681,0.92938120816902,0.5250835090894294,0.05868173618714338,1.8450953762572233
R3.1 P1-1+P1-2_Total_20210826,I20,ASO568_3_R3.1P1-2,KQ2205_L20_5-09-6_3uM_R3.1P1-2,5.857974742204899,0.1648059867682905,0.8920484737872376,5.989996931438681,-0.1320221892337825,1.0958286206058936,0.359683845134999,2.010482970458269
R3.1 P1-1+P1-2_Total_20210826,J16,ASO569_10_R3.1P1-2,KQ2206_L20_6-09-5_10uM_R3.1P1-2,4.9873476874166975,-0.7058210680199108,1.6310726783903504,5.989996931438681,-1.0026492440219839,2.0036760061704504,0.963117553738046,1.985434410016661
R3.1 P1-1+P1-2_Total_20210826,K14,ASO574_10_R3.1P1-2,KQ2211_L19_5-09-5_10uM_R3.1P1-2,3.424398840117398,-2.2687699153192105,4.819120633052869,5.989996931438681,-2.5655980913212835,5.9200037565573815,3.151810894221439,2.038145388327924
R3.1_P1-1+P1-2_WT_20210826,P15,Naive_R3.1P1-2,Naive_R3.1P1-2,5.888374456671102,-0.4727056424061739,1.387709551396828,7.608127953450119,-1.7197534967790178,3.293801232186147,0.6453613073809892,2.540089869588609
R3.1_P1-1+P1-2_WT_20210826,O14,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,5.209519934798298,-1.151560164278978,2.2215400711592515,7.608127953450119,-2.3986080186518217,5.272941601050343,,2.450108458180399
R3.1_P1-1+P1-2_WT_20210826,I14,ASO568_10_R3.1P1-2,KQ2205_L20_5-09-6_10uM_R3.1P1-2,7.837572039201497,1.4764919401242214,0.3593615747245299,7.608127953450119,0.22944408575137754,0.8529635012143336,0.265160931734965,1.8285320359174493
R3.1_P1-1+P1-2_WT_20210826,I20,ASO568_3_R3.1P1-2,KQ2205_L20_5-09-6_3uM_R3.1P1-2,5.455588529459899,-0.9054915696173768,1.8731826358421082,7.608127953450119,-2.1525394239902207,4.446097000511381,1.7524224128036046,2.008283991930705
R3.1_P2-1+P2-2_MT_20210826,G6,Naive_R3.1P2-1,Naive_R3.1P2-1,6.4161115251643,0.1766598377331423,0.8847490190903038,6.9296510674794085,-0.5135395423151081,1.4275482835969058,0.10471118591989456,2.537527149194509
R3.1_P2-1+P2-2_MT_20210826,A23,ASO147_3_R3.1P2-1,KQ457_L20_5-10-5_3uM_R3.1P2-1,6.3748344298949,0.1353827424637419,0.9104282677897141,6.9296510674794085,-0.5548166375845085,1.468981918010644,0.163217177717395,1.964140687750606
R3.1_P2-1+P2-2_MT_20210826,B21,ASO148_3_R3.1P2-1,KQ456_L20_5-10-5_3uM_R3.1P2-1,6.839502074218601,0.6000503867874425,0.6597309135786724,6.9296510674794085,-0.09014899326080794,1.0644801101711376,0.13893523139064748,1.806108434207014
R3.1_P2-1+P2-2_MT_20210826,E1,ASO576_10_R3.1P2-1,KQ2213_L19_5-09-5_10uM_R3.1P2-1,9.5491191725232,3.3096674850920405,0.10085346210876339,6.9296510674794085,2.619468105043792,0.16272771556865173,0.057587065121063055,1.8796675029720522
R3.1_P2-1+P2-2_Total_20210826,G2,Naive_R3.1P2-1,Naive_R3.1P2-1,5.124819592769001,-0.3107119096960238,1.2403195948272623,6.626118438097051,-1.5012988453280505,2.830974678763922,0.1779556818881225,2.2030910161441484
R3.1_P2-1+P2-2_Total_20210826,H9,Ionis676630_10_R3.1P2-1,Ionis676630_10uM_R3.1P2-1,6.0465893473297,0.6110578448646757,0.6547164601558595,6.626118438097051,-0.5795290907673509,1.4943613954025448,0.16707201915973263,2.1203739683660365
R3.1_P2-1+P2-2_Total_20210826,D11,ASO11_3_R3.1P2-1,KQ371_L20_5-10-5_3uM_R3.1P2-1,6.9860102567614,1.5504787542963756,0.3413967538350985,6.626118438097051,0.35989181866434894,0.7792230079651083,0.04303944647918657,1.8321271004673703
R3.1_P2-1+P2-2_Total_20210826,F1,ASO11-2nd_10_R3.1P2-1,KQ371_2nd batch_L20_5-10-5_10uM_R3.1P2-1,-1.2802945081811004,,,6.626118438097051,-7.906412946278151,239.920553643533,138.4111208392822,2.0412414355393333
R3.1_P2-1+P2-2_Total_20210826,D14,ASO150_10_R3.1P2-1,KQ292_L20_5-10-5_10uM_R3.1P2-1,6.996706826009998,1.5611753235449737,0.33887489741860466,6.626118438097051,0.3705883879129468,0.7734669821082673,0.17549508067547462,1.9635173645969952
R3.1_P2-1+P2-2_Total_20210826,B9,ASO575_3_R3.1P2-1,KQ2212_L19_5-09-5_3uM_R3.1P2-1,6.488206293492201,1.0526747910271768,0.48207355952804226,6.626118438097051,-0.1379121446048499,1.1003116019589654,0.05870598380303192,1.8971253463680262
R3.1_P2-1+P2-2_WT_20210826,G2,Naive_R3.1P2-1,Naive_R3.1P2-1,5.9110623103536,-0.256859046887758,1.1948744584227597,6.8603688937888405,-0.9493065834352405,1.9309443461934652,0.11686282529073294,1.9864002562724161
R3.1_P2-1+P2-2_WT_20210826,B24,ASO148_3_R3.1P2-1,KQ456_L20_5-10-5_3uM_R3.1P2-1,6.3394383632423015,0.1715170060009434,0.8879085468033556,6.8603688937888405,-0.520930530546539,1.4348804397827253,0.14112162856899468,1.8450448943836073
R3.1_P2-1+P2-2_WT_20210826,B6,ASO575_10_R3.1P2-1,KQ2212_L19_5-09-5_10uM_R3.1P2-1,6.857784163822501,0.689862806581143,0.619912797917625,6.8603688937888405,-0.0025847299663395162,1.0017932041597732,0.060375559906619795,1.9086655153935943
R3.1_P2-1+P2-2_WT_20210826,E3,ASO576_10_R3.1P2-1,KQ2213_L19_5-09-5_10uM_R3.1P2-1,7.07305791241,0.9051365551686424,0.5339821587092713,6.8603688937888405,0.21268901862115985,0.8629273335450596,0.0712761961819162,1.8579190682951003
R3.1_P2-1+P2-2_MT_20210826,P15,Naive_R3.1P2-2,Naive_R3.1P2-2,5.709223843529799,-0.7300187844482124,1.6586606878928707,6.762381872353643,-1.0531580288238445,2.075067157799125,0.12231820109951427,1.9407204533858478
R3.1_P2-1+P2-2_MT_20210826,O17,Ionis676630_10_R3.1P2-2,Ionis676630_10uM_R3.1P2-2,7.839235775744402,1.3999931477663914,0.37893094139615224,6.762381872353643,1.0768539033907585,0.47406148665883546,0.11238861689356879,1.8185177951049962
