Experiment	r2
Round 1 AS 46.0 WT all	0.04907377229534626
Round 1 AS 46.0 MT all	0.36383823513081315
Round 3.1 1-1 WT all	0.4191112194201957
Round 3.1 1-1 MT all	0.031660683098505005
Round 3.1 1-2 WT all	0.23574398644234196
Round 3.1 1-2 MT all	0.11883284163092489
Round 3.1 2-1 WT all	0.7252598625587666
Round 3.1 2-1 MT all	0.9381141736799123
Round 3.1 2-2 WT all	0.3259152751058355
Round 3.1 2-2 MT all	0.036925479812048634
Round 3.1 1-1 WT all	0.4191112194201957
Round 3.1 1-1 MT all	0.031660683098505005
Round 3.1 1-2 WT all	0.23574398644234196
Round 3.1 1-2 MT all	0.11883284163092489
Round 3.1 2-1 WT all	0.7252598625587666
Round 3.1 2-1 MT all	0.9381141736799123
Round 3.1 2-2 WT all	0.3259152751058355
Round 3.1 2-2 MT all	0.036925479812048634
Round 3.1 1-1 WT all	0.4191112194201957
Round 3.1 1-1 MT all	0.031660683098505005
Round 3.1 1-2 WT all	0.23574398644234196
Round 3.1 1-2 MT all	0.11883284163092489
Round 3.1 2-1 WT all	0.7252598625587666
Round 3.1 2-1 MT all	0.9381141736799123
Round 3.1 2-2 WT all	0.3259152751058355
Round 3.1 2-2 MT all	0.036925479812048634
Round 3.1 1-1 WT all	0.4191112194201957
Round 3.1 1-1 MT all	0.031660683098505005
Round 3.1 1-2 WT all	0.23574398644234196
Round 3.1 1-2 MT all	0.11883284163092489
Round 3.1 2-1 WT all	0.7252598625587666
Round 3.1 2-1 MT all	0.9381141736799123
Round 3.1 2-2 WT all	0.3259152751058355
Round 3.1 2-2 MT all	0.036925479812048634
Round 3.1 1-1 WT all	0.4191112194201957
Round 3.1 1-1 MT all	0.031660683098505005
Round 3.1 1-2 WT all	0.23574398644234196
Round 3.1 1-2 MT all	0.11883284163092489
Round 3.1 2-1 WT all	0.7252598625587666
Round 3.1 2-1 MT all	0.9381141736799123
Round 3.1 2-2 WT all	0.3259152751058355
Round 3.1 2-2 MT all	0.036925479812048634
Round 3.1 3-1 WT all	0.6201128298544955
Round 3.1 3-1 MT all	0.8028531556925919
Round 3.1 3-2 WT all	0.27301440462169235
Round 3.1 3-2 MT all	0.5148658175711647
Round 3.1 4-1 WT all	0.627556346673232
Round 3.1 4-1 MT all	0.807883404410371
Round 3.1 5-1 WT all	0.6856588511248247
Round 3.1 5-1 MT all	0.7976867595476386
Round 3.1 1-1 WT all	0.4191112194201957
Round 3.1 1-1 WT all	0.4191112194201957
Round 3.1 1-1 MT all	0.031660683098505005
Round 3.1 1-2 WT all	0.23574398644234196
Round 3.1 1-2 MT all	0.11883284163092489
Round 3.1 2-1 WT all	0.7252598625587666
Round 3.1 2-1 MT all	0.9381141736799123
Round 3.1 2-2 WT all	0.3259152751058355
Round 3.1 2-2 MT all	0.036925479812048634
Round 3.1 3-1 WT all	0.6201128298544955
