Experiment Name,SampleName,ASO Microsynth ID,Delta Ct Mean,Delta Ct Naive Mean,ddCt,Avg Exp
Experiment_40_WT_2,Naive_1,Naive_1,6.861,6.5805,0.2805,0.823305632
Experiment_40_WT_2,Naive_2,Naive_2,6.3,6.5805,-0.2805,1.214615765
Experiment_40_WT_2,KQ958_10uM,KQ958_10uM,6.948,6.5805,0.3675,0.775124522
Experiment_40_WT_2,KQ106_10uM,KQ106_10uM,7.022,6.5805,0.4415,0.736368593
Experiment_40_WT_2,KQ830_10uM,KQ830_10uM,6.593,6.5805,0.0125,0.991373087
Experiment_40_WT_2,KQ373_10uM,KQ373_10uM,8.409,6.5805,1.8285,0.28155721
Experiment_40_WT_2,KQ500_10uM,KQ500_10uM,7.348,6.5805,0.7675,0.58743454
Experiment_40_WT_2,KQ479_10uM,KQ479_10uM,6.922,6.5805,0.3415,0.789220316
Experiment_40_WT_2,KQ105_10uM,KQ105_10uM,7.016,6.5805,0.4355,0.739437441
Experiment_40_WT_2,KQ920_10uM,KQ920_10uM,6.846,6.5805,0.2655,0.831910367
Experiment_40_WT_2,KQ332_10uM,KQ332_10uM,7.363,6.5805,0.7825,0.581358502
Experiment_40_WT_2,KQ501_10uM,KQ501_10uM,7.11,6.5805,0.5295,0.692794797
Experiment_40_WT_2,KQ480_10uM,KQ480_10uM,7.016,6.5805,0.4355,0.739437441
Experiment_40_WT_2,KQJM071_10uM,KQJM071_10uM,6.745,6.5805,0.1645,0.892237692
Experiment_40_WT_2,KQ921_10uM,KQ921_10uM,6.842,6.5805,0.2615,0.834220112
Experiment_40_WT_2,KQ258_10uM,KQ258_10uM,7.651,6.5805,1.0705,0.476153948
Experiment_40_WT_2,KQ955_10uM,KQ955_10uM,7.964,6.5805,1.3835,0.383287804
Experiment_40_WT_2,KQ995_10uM,KQ995_10uM,7.214,6.5805,0.6335,0.644610682
Experiment_40_WT_2,KQ928_10uM,KQ928_10uM,6.992,6.5805,0.4115,0.751841262
Experiment_40_WT_2,KQ371_10uM,KQ371_10uM,7.594,6.5805,1.0135,0.495343079
Experiment_40_WT_2,Ionis 676630_10uM,Ionis 676630_10uM,7.513,6.5805,0.9325,0.523949619
Experiment_40_WT_2,KQ957_10uM,KQ957_10uM,7.749,6.5805,1.1685,0.444883655
Experiment_40_WT_2,KQ288_10uM,KQ288_10uM,7.313,6.5805,0.7325,0.601860066
Experiment_40_WT_2,KQ980_10uM,KQ980_10uM,7.017,6.5805,0.4365,0.738925079
Experiment_40_WT_2,KQ280_10uM,KQ280_10uM,7.011,6.5805,0.4305,0.742004582
Experiment_40_WT_2,Ionis 1375651_10uM,Ionis 1375651_10uM,8.832,6.5805,2.2515,0.210005643
Experiment_40_WT_2,KQ956_10uM,KQ956_10uM,7.851,6.5805,1.2705,0.414516088
Experiment_40_WT_2,KQ426_10uM,KQ426_10uM,7.488,6.5805,0.9075,0.533108097
Experiment_40_WT_2,KQJM069_10uM,KQJM069_10uM,6.794,6.5805,0.2135,0.862442393
Experiment_40_WT_2,KQ372_10uM,KQ372_10uM,7.211,6.5805,0.6305,0.645952506
Experiment_39_1,Ionis 1375651_10uM,Ionis 1375651_10uM,7.546,5.6815,1.8645,0.274618362
Experiment_39_1,Ionis 1375651_1uM,Ionis 1375651_1uM,6.636,5.6815,0.9545,0.516020398
Experiment_39_1,Ionis 1375651_3uM,Ionis 1375651_3uM,6.728,5.6815,1.0465,0.484141275
Experiment_39_1,Ionis 676630_10uM,Ionis 676630_10uM,5.902,5.6815,0.2205,0.858267932
Experiment_39_1,Ionis 676630_3uM,Ionis 676630_3uM,5.618,5.6815,-0.0635,1.044997869
Experiment_39_1,KQ332-5PD_10uM,KQ332-5PD_10uM,7.987,5.6815,2.3055,0.202290433
Experiment_39_1,KQ332-5PD_1uM,KQ332-5PD_1uM,6.83,5.6815,1.1485,0.451093999
Experiment_39_1,KQ332-5PD_3uM,KQ332-5PD_3uM,7.253,5.6815,1.5715,0.33645839
Experiment_39_1,KQ836_10uM,KQ836_10uM,6.98,5.6815,1.2985,0.406548676
Experiment_39_1,KQ836_1uM,KQ836_1uM,6.233,5.6815,0.5515,0.682310347
Experiment_39_1,KQ836_3uM,KQ836_3uM,6.552,5.6815,0.8705,0.546957257
Experiment_39_1,KQ840_10uM,KQ840_10uM,8.118,5.6815,2.4365,0.18473127
Experiment_39_1,KQ840_1uM,KQ840_1uM,6.608,5.6815,0.9265,0.526133202
Experiment_39_1,KQ840_3uM,KQ840_3uM,6.832,5.6815,1.1505,0.450469084
Experiment_39_1,KQ841_10uM,KQ841_10uM,7.667,5.6815,1.9855,0.252525328
Experiment_39_1,KQ841_1uM,KQ841_1uM,6.778,5.6815,1.0965,0.467649646
Experiment_39_1,KQ841_3uM,KQ841_3uM,7.367,5.6815,1.6855,0.310895147
Experiment_39_1,KQ843_10uM,KQ843_10uM,7.532,5.6815,1.8505,0.277296248
Experiment_39_1,KQ843_1uM,KQ843_1uM,6.733,5.6815,1.0515,0.482466273
Experiment_39_1,KQ843_3uM,KQ843_3uM,7.108,5.6815,1.4265,0.372032355
Experiment_39_1,KQ882_10uM,KQ882_10uM,6.877,5.6815,1.1955,0.436635096
Experiment_39_1,KQ882_1uM,KQ882_1uM,6.464,5.6815,0.7825,0.581358502
Experiment_39_1,KQ882_3uM,KQ882_3uM,6.41,5.6815,0.7285,0.603531092
Experiment_39_1,KQ886_10uM,KQ886_10uM,7.105,5.6815,1.4235,0.372806779
Experiment_39_1,KQ886_1uM,KQ886_1uM,6.876,5.6815,1.1945,0.436937853
Experiment_39_1,KQ886_3uM,KQ886_3uM,6.884,5.6815,1.2025,0.43452166
Experiment_39_1,Naive_1,Naive_1,5.827,5.6815,0.1455,0.904065998
Experiment_39_1,Naive_2,Naive_2,5.699,5.6815,0.0175,0.987943197
Experiment_39_1,Naive_3,Naive_3,5.754,5.6815,0.0725,0.950988632
Experiment_39_1,Naive_4,Naive_4,5.446,5.6815,-0.2355,1.177314693
Experiment_39_2,Ionis 1375651_10uM,Ionis 1375651_10uM,7.915,5.802,2.113,0.23116582
Experiment_39_2,Ionis 1375651_1uM,Ionis 1375651_1uM,6.508,5.802,0.706,0.61301743
Experiment_39_2,Ionis 1375651_3uM,Ionis 1375651_3uM,7.685,5.802,1.883,0.271119352
Experiment_39_2,KQ332-5PD_10uM,KQ332-5PD_10uM,7.473,5.802,1.671,0.314035595
Experiment_39_2,KQ332-5PD_1uM,KQ332-5PD_1uM,7.327,5.802,1.525,0.347479555
Experiment_39_2,KQ332-5PD_3uM,KQ332-5PD_3uM,7.482,5.802,1.68,0.312082637
Experiment_39_2,KQ836_10uM,KQ836_10uM,7.102,5.802,1.3,0.406126198
Experiment_39_2,KQ836_1uM,KQ836_1uM,6.201,5.802,0.399,0.758383773
Experiment_39_2,KQ836_3uM,KQ836_3uM,6.13,5.802,0.328,0.796640096
Experiment_39_2,KQ840_10uM,KQ840_10uM,7.276,5.802,1.474,0.35998283
Experiment_39_2,KQ840_1uM,KQ840_1uM,6.526,5.802,0.724,0.605416542
Experiment_39_2,KQ840_3uM,KQ840_3uM,6.793,5.802,0.991,0.503128912
Experiment_39_2,KQ841_1uM,KQ841_1uM,6.719,5.802,0.917,0.529609167
Experiment_39_2,KQ841_3uM,KQ841_3uM,7.332,5.802,1.53,0.346277367
Experiment_39_2,KQ843_10uM,KQ843_10uM,7.491,5.802,1.689,0.310141824
Experiment_39_2,KQ843_1uM,KQ843_1uM,6.684,5.802,0.882,0.542614686
Experiment_39_2,KQ843_3uM,KQ843_3uM,6.97,5.802,1.168,0.445037867
Experiment_39_2,KQ882_10uM,KQ882_10uM,7.393,5.802,1.591,0.33194129
Experiment_39_2,KQ882_1uM,KQ882_1uM,6.286,5.802,0.484,0.714992493
Experiment_39_2,KQ882_3uM,KQ882_3uM,6.741,5.802,0.939,0.521594297
Experiment_39_2,KQ886_10uM,KQ886_10uM,7.603,5.802,1.801,0.286975603
Experiment_39_2,KQ886_1uM,KQ886_1uM,6.322,5.802,0.52,0.697371833
Experiment_39_2,KQ886_3uM,KQ886_3uM,7.2,5.802,1.398,0.379454813
Experiment_39_2,Naive_1,Naive_1,5.935,5.802,0.133,0.911933166
Experiment_39_2,Naive_3,Naive_3,5.669,5.802,-0.133,1.096571589
