Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp,,,
ASO1-95_MT_1.2-6_20210630,B8,ASO3_3,KQ379_L20_5-10-5_3uM_P1.2-1,33.74901987,24.97259094,8.78,,,,0.84,,,,,
ASO1-95_MT_1.2-6_20210630,B9,ASO3_3,KQ379_L20_5-10-5_3uM_P1.2-1,33.10733578,25.06979976,8.04,,,,0.10,,,,,
ASO1-95_MT_1.2-6_20210630,B10,ASO3_3,KQ379_L20_5-10-5_3uM_P1.2-1,33.6147221,25.39317522,8.22,,,,0.28,0.29,0.82,,,
ASO1-95_MT_1.2-6_20210630,B11,ASO3_3,KQ379_L20_5-10-5_3uM_P1.2-1,33.83778189,25.4248157,8.41,,,,0.47,,,,,
ASO1-95_MT_1.2-6_20210630,B12,ASO3_3,KQ379_L20_5-10-5_3uM_P1.2-1,33.59693363,25.54936457,8.05,,,,0.11,,,,,
ASO1-95_MT_1.2-6_20210630,B13,ASO12_10,KQ279_L20_5-10-5_10uM_P1.2-1,36.4384047,26.16283259,10.28,,,,2.34,2.24,0.21,,,
ASO1-95_MT_1.2-6_20210630,B14,ASO12_10,KQ279_L20_5-10-5_10uM_P1.2-1,35.96721815,26.22142928,9.75,,,,1.81,,,,,
ASO1-95_MT_1.2-6_20210630,B15,ASO12_10,KQ279_L20_5-10-5_10uM_P1.2-1,36.78882446,26.27120116,10.52,,,,2.58,,,,,
ASO1-95_MT_1.2-6_20210630,B16,ASO12_10,KQ279_L20_5-10-5_10uM_P1.2-1,35.88426339,26.44839198,9.44,,,,1.50,1.39,0.38,,,
ASO1-95_MT_1.2-6_20210630,B17,ASO12_10,KQ279_L20_5-10-5_10uM_P1.2-1,35.92032165,26.51782888,9.40,,,,1.46,,,,,
ASO1-95_MT_1.2-6_20210630,B18,ASO12_10,KQ279_L20_5-10-5_10uM_P1.2-1,35.76586251,26.62584475,9.14,,,,1.20,,,,,
