Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt from Naive,Exp from Naive,Avg dCt Ionis676630,ddCt,Exp,Exp_std,Exp_zscore,Test plate #,Avg_plate,Min_plate,Max_plate
Rd2.1.3_P1+2_MT_20210730,A8,KQ331_10_P2.1-1,KQ331_L20_5-10-5_10uM_P2.1-1,8.0979763,0.852173813,0.5539494311975005,7.70747105,0.39050524999999947,0.7628623936604848,0.025468449937957535,0.869864000371553,1.0,,,
Rd2.1.3_P1+2_MT_20210730,A9,KQ331_10_P2.1-1,KQ331_L20_5-10-5_10uM_P2.1-1,8.195410299999999,0.949607806,0.5177731984844001,7.70747105,0.48793924999999927,0.7130428833525175,0.025468449937957535,0.22359745614707707,1.0,,,
Rd2.1.3_P1+2_MT_20210730,A19,KQ331_10_P2.1-1,KQ331_L20_5-10-5_10uM_P2.1-1,8.272465,1.026662519,0.49084433877106837,7.70747105,0.5649939500000007,0.6759582511663825,0.09810847810069823,0.2574702407976768,1.0,,,
Rd2.1.3_P1+2_MT_20210730,A20,KQ331_10_P2.1-1,KQ331_L20_5-10-5_10uM_P2.1-1,8.134506170000002,0.888703683,0.5400992001981533,7.70747105,0.427035120000002,0.7437887747020309,0.09810847810069823,0.622438007343212,1.0,,,
Rd2.1.3_P1+2_MT_20210730,A21,KQ331_10_P2.1-1,KQ331_L20_5-10-5_10uM_P2.1-1,8.568863479999997,1.323060991,0.3996860177970181,7.70747105,0.8613924299999978,,0.09810847810069823,1.8859585117184157,1.0,,,
Rd2.1.3_P1+2_WT_20210730,F1,KQ332_10_P2.1-1,KQ332_L20_5-10-5_10uM_P2.1-1,8.318146919999997,1.193780911,0.43715569203138627,7.707525778333333,0.6106211416666634,0.6549146725580985,0.042241850439499705,0.22876787671052703,1.0,,,
Rd2.1.3_P1+2_WT_20210730,F2,KQ332_10_P2.1-1,KQ332_L20_5-10-5_10uM_P2.1-1,8.433647969999999,1.309281959,0.40352166563986874,7.707525778333333,0.7261221916666658,0.6045266342712969,0.042241850439499705,1.1198199088036709,1.0,,,
Rd2.1.3_P1+2_WT_20210730,F3,KQ332_10_P2.1-1,KQ332_L20_5-10-5_10uM_P2.1-1,8.246106099999999,1.121740091,0.4595392226588192,7.707525778333333,0.5385803216666654,0.6884480404148449,0.042241850439499705,0.36422952083863164,1.0,,,
Rd2.1.3_P1+2_WT_20210730,F13,KQ332_10_P2.1-1,KQ332_L20_5-10-5_10uM_P2.1-1,8.14215008,1.01778407,0.49387434399183233,7.707525778333333,0.4346243016666671,0.7398864064952816,0.07195302310209323,1.2738553404159296,1.0,,,
Rd2.1.3_P1+2_WT_20210730,F14,KQ332_10_P2.1-1,KQ332_L20_5-10-5_10uM_P2.1-1,8.433470200000002,1.309104196,0.40357138899734335,7.707525778333333,0.7259444216666688,0.6046011291008094,0.07195302310209323,1.1185025570774592,1.0,,,
