Experiment Name,Position,SampleName,ASO Description ,Target SNP ID,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 8,Avg,SD,ddCt,Avg_ddCt,Exp
R3.1 P1-1+P1-2_Total_20210826,J2,ASO565_10_R3.1P1-2,KQ2202_L20_5-09-6_10uM_R3.1P1-2,rs8113956,32.4742382897659,24.3821086985638,8.092129591202099,,,,2.3989608357654904,,
R3.1 P1-1+P1-2_Total_20210826,J3,ASO565_10_R3.1P1-2,KQ2202_L20_5-09-6_10uM_R3.1P1-2,rs8113956,32.4074076633461,24.4924837656176,7.9149238977284995,,,,2.221755142291891,,
R3.1 P1-1+P1-2_Total_20210826,J4,ASO565_10_R3.1P1-2,KQ2202_L20_5-09-6_10uM_R3.1P1-2,rs8113956,32.7005310981773,25.5315397429191,7.1689913552582,,,,1.4758225998215915,1.5029004666523251,0.3528433031162837
R3.1 P1-1+P1-2_Total_20210826,J5,ASO565_10_R3.1P1-2,KQ2202_L20_5-09-6_10uM_R3.1P1-2,rs8113956,32.9128526527666,25.6244024422983,7.2884502104683015,,,,1.5952814550316932,,
R3.1 P1-1+P1-2_Total_20210826,J6,ASO565_10_R3.1P1-2,KQ2202_L20_5-09-6_10uM_R3.1P1-2,rs8113956,32.7511011893874,25.6203350888471,7.130766100540299,,,,1.4375973451036907,,
R3.1 P1-1+P1-2_Total_20210826,J7,ASO565_3_R3.1P1-2,KQ2202_L20_5-09-6_3uM_R3.1P1-2,rs8113956,31.8789097304546,25.0583334774285,6.820576253026097,,,,1.1274074975894885,1.0352830750419917,0.4879201348841118
R3.1 P1-1+P1-2_Total_20210826,J8,ASO565_3_R3.1P1-2,KQ2202_L20_5-09-6_3uM_R3.1P1-2,rs8113956,31.6848195489415,25.0776074877048,6.607212061236702,,,,0.9140433058000932,,
R3.1 P1-1+P1-2_Total_20210826,J9,ASO565_3_R3.1P1-2,KQ2202_L20_5-09-6_3uM_R3.1P1-2,rs8113956,31.8662681693663,25.1087009921933,6.7575671771730015,,,,1.064398421736393,,
R3.1 P1-1+P1-2_Total_20210826,J10,ASO565_3_R3.1P1-2,KQ2202_L20_5-09-6_3uM_R3.1P1-2,rs8113956,32.1096411041442,25.3979881018939,6.711653002250301,,,,1.018484246813693,0.9362412410526592,0.5225926571745952
R3.1 P1-1+P1-2_Total_20210826,J11,ASO565_3_R3.1P1-2,KQ2202_L20_5-09-6_3uM_R3.1P1-2,rs8113956,32.0027676655277,25.5589873316899,6.4437803338378,,,,0.750611578401192,,
