Experiment Name,Position,SampleName,ASO Description ,Target SNP ID,CrossingPoint,,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp
R3.1_P3-1+P3-2_WT_20210826,A14,ASO188_10_R3.1P3-1,KQ480_L20_5-10-5_10uM_R3.1P3-1,rs34659510,36.13253507,28.96956689,7.1629681815367,,,,1.0086414087624,,
R3.1_P3-1+P3-2_WT_20210826,A15,ASO188_10_R3.1P3-1,KQ480_L20_5-10-5_10uM_R3.1P3-1,rs34659510,35.14081236,29.02162327,6.1191890890488,,,,-0.0351376837255,,
R3.1_P3-1+P3-2_WT_20210826,A16,ASO188_10_R3.1P3-1,KQ480_L20_5-10-5_10uM_R3.1P3-1,rs34659510,31.11519817,24.01344463,7.1017535429066,,,,0.9474267701323,0.9597511211788,0.5141456007574
R3.1_P3-1+P3-2_WT_20210826,A17,ASO188_10_R3.1P3-1,KQ480_L20_5-10-5_10uM_R3.1P3-1,rs34659510,31.11977293,23.97909018,7.1406827571518,,,,0.9863559843775,,
R3.1_P3-1+P3-2_WT_20210826,A18,ASO188_10_R3.1P3-1,KQ480_L20_5-10-5_10uM_R3.1P3-1,rs34659510,31.11320669,24.0134093,7.0997973818010,,,,0.9454706090267,,
R3.1_P3-1+P3-2_WT_20210826,A19,ASO188_3_R3.1P3-1,KQ480_L20_5-10-5_3uM_R3.1P3-1,rs34659510,30.99562916,24.40377101,6.5918581506642,,,,0.4375313778899,0.4710777123607,0.7214254820043
R3.1_P3-1+P3-2_WT_20210826,A20,ASO188_3_R3.1P3-1,KQ480_L20_5-10-5_3uM_R3.1P3-1,rs34659510,31.16897099,24.53854844,6.6304225583725,,,,0.4760957855982,,
R3.1_P3-1+P3-2_WT_20210826,A21,ASO188_3_R3.1P3-1,KQ480_L20_5-10-5_3uM_R3.1P3-1,rs34659510,31.17049372,24.51656098,6.6539327463684,,,,0.4996059735941,,
R3.1_P3-1+P3-2_WT_20210826,A22,ASO188_3_R3.1P3-1,KQ480_L20_5-10-5_3uM_R3.1P3-1,rs34659510,30.75067335,24.22607026,6.5246030864623,,,,0.3702763136880,0.3623542696490,0.7778941326323
R3.1_P3-1+P3-2_WT_20210826,A23,ASO188_3_R3.1P3-1,KQ480_L20_5-10-5_3uM_R3.1P3-1,rs34659510,30.73630499,24.18871834,6.5475866472697,,,,0.3932598744954,,
R3.1_P3-1+P3-2_WT_20210826,A24,ASO188_3_R3.1P3-1,KQ480_L20_5-10-5_3uM_R3.1P3-1,rs34659510,30.74222987,24.26437648,6.4778533935379,,,,0.3235266207636,,
R3.1_P3-1+P3-2_WT_20210826,F13,ASO189_10_R3.1P3-1,KQ479_L20_5-10-5_10uM_R3.1P3-1,rs34659510,35.93324833,28.92597617,7.0072721613350,,,,0.8529453885607,0.7244855406636,0.6052128226296
R3.1_P3-1+P3-2_WT_20210826,F14,ASO189_10_R3.1P3-1,KQ479_L20_5-10-5_10uM_R3.1P3-1,rs34659510,35.8971037,29.0395098,6.8575938987367,,,,0.7032671259624,,
R3.1_P3-1+P3-2_WT_20210826,F15,ASO189_10_R3.1P3-1,KQ479_L20_5-10-5_10uM_R3.1P3-1,rs34659510,35.85276411,29.08119323,6.7715708802421,,,,0.6172441074678,,
R3.1_P3-1+P3-2_WT_20210826,F16,ASO189_10_R3.1P3-1,KQ479_L20_5-10-5_10uM_R3.1P3-1,rs34659510,31.31565662,23.99236335,7.3232932689402,,,,1.1689664961659,1.2314074526117,0.4259017454076
R3.1_P3-1+P3-2_WT_20210826,F17,ASO189_10_R3.1P3-1,KQ479_L20_5-10-5_10uM_R3.1P3-1,rs34659510,31.45239553,24.03214117,7.4202543651425,,,,1.2659275923682,,
R3.1_P3-1+P3-2_WT_20210826,F18,ASO189_10_R3.1P3-1,KQ479_L20_5-10-5_10uM_R3.1P3-1,rs34659510,31.46560003,24.05194499,7.4136550420755,,,,1.2593282693012,,
R3.1_P3-1+P3-2_WT_20210826,F19,ASO189_3_R3.1P3-1,KQ479_L20_5-10-5_3uM_R3.1P3-1,rs34659510,30.35850568,23.76838531,6.5901203702838,,,,0.4357935975095,0.4361057098020,0.7391270560016
R3.1_P3-1+P3-2_WT_20210826,F20,ASO189_3_R3.1P3-1,KQ479_L20_5-10-5_3uM_R3.1P3-1,rs34659510,30.33035834,23.80296865,6.5273896909617,,,,0.3730629181874,,
R3.1_P3-1+P3-2_WT_20210826,F21,ASO189_3_R3.1P3-1,KQ479_L20_5-10-5_3uM_R3.1P3-1,rs34659510,30.48772489,23.83393751,6.6537873864834,,,,0.4994606137091,,
