,Experiment Name,SampleName,ASO Microsynth ID,Delta Ct Mean,Delta Ct Naive Mean,ddCt,Avg Exp,Exp_std,Avg Exp_zscore
48,Exp_40_MT,KQ479_10uM,KQ479_10uM,7.958,6.8025,1.1555,0.448910579,0.04910147508660404,-0.7071067811865475
49,Exp_40_MT,KQ479_10uM,KQ479_10uM,8.485,7.537,0.948,0.518350551,0.04910147508660404,0.7071067811865475
50,Exp_40_WT,KQ479_10uM,KQ479_10uM,6.922,6.5805,0.3415,0.789220316,0.08058707824068609,0.7071067811865475
51,Exp_40_WT,KQ479_10uM,KQ479_10uM,7.346,6.7795,0.5665,0.675252977,0.08058707824068609,-0.7071067811865475
52,Exp_40_WT,KQ480_10uM,KQ480_10uM,7.016,6.5805,0.4355,0.739437441,0.06164985354383041,0.7071067811865476
53,Exp_40_WT,KQ480_10uM,KQ480_10uM,7.396,6.7795,0.6165,0.652251382,0.06164985354383041,-0.7071067811865476
54,Exp_40_MT,KQ480_10uM,KQ480_10uM,7.999,6.8025,1.1965,0.436332548,0.0394278944026204,-0.7071067811865475
55,Exp_40_MT,KQ480_10uM,KQ480_10uM,8.56,7.537,1.023,0.492092011,0.0394278944026204,0.7071067811865475
56,Exp_40_WT,KQ500_10uM,KQ500_10uM,7.348,6.5805,0.7675,0.58743454,0.040758902002944505,0.7071067811865455
57,Exp_40_MT,KQ500_10uM,KQ500_10uM,9.542,7.537,2.005,0.249135066,0.033915149929347375,0.7071067811865476
58,Exp_40_WT,KQ500_10uM,KQ500_10uM,7.696,6.7795,0.9165,0.529792748,0.040758902002944505,-0.7071067811865481
59,Exp_40_MT,KQ500_10uM,KQ500_10uM,9.116,6.8025,2.3135,0.201171801,0.033915149929347375,-0.7071067811865476
60,Exp_40_WT,KQ501_10uM,KQ501_10uM,7.288,6.7795,0.5085,0.702952933,0.0071828868498151795,0.707106781186536
61,Exp_40_WT,KQ501_10uM,KQ501_10uM,7.11,6.5805,0.5295,0.692794797,0.0071828868498151795,-0.7071067811865515
62,Exp_40_MT,KQ501_10uM,KQ501_10uM,8.911,7.537,1.374,0.385820044,0.02064047381289299,0.7071067811865476
63,Exp_40_MT,KQ501_10uM,KQ501_10uM,8.29,6.8025,1.4875,0.356630006,0.02064047381289299,-0.7071067811865476
64,Exp_40_MT,KQ830_10uM,KQ830_10uM,7.149,6.8025,0.3465,0.786489822,0.08691645538580393,-0.7071067811865485
65,Exp_40_MT,KQ830_10uM,KQ830_10uM,7.674,7.537,0.137,0.909408252,0.08691645538580393,0.7071067811865472
