Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt,Exp,Exp_std,Exp_zscore,Test plate #,Avg_plate,Min_plate,Max_plate
ASO1-95_MT_1.2-6_20210630,B20,ASO12_3,KQ279_L20_5-10-5_3uM_P1.2-1,9.412358380000004,1.47,0.36098229888062405,0.0580697870262124,0.9153425953369883,1.0,,,
ASO1-95_MT_1.2-6_20210630,B21,ASO12_3,KQ279_L20_5-10-5_3uM_P1.2-1,9.970455089999998,2.03,0.24485507439673176,0.0580697870262124,0.7377652708331602,1.0,,,
ASO1-95_MT_1.2-6_20210630,B22,ASO12_3,KQ279_L20_5-10-5_3uM_P1.2-1,10.18074347,2.24,0.21168632809063176,0.09415764254723795,1.2099328927952395,1.0,,,
ASO1-95_MT_1.2-6_20210630,B23,ASO12_3,KQ279_L20_5-10-5_3uM_P1.2-1,9.281017480000003,1.34,0.39502065593168856,0.09415764254723795,1.3998894020199277,1.0,,,
ASO1-95_MT_1.2-6_20210630,B24,ASO12_3,KQ279_L20_5-10-5_3uM_P1.2-1,9.853344980000003,1.91,0.26609254561334,0.09415764254723795,0.43544313335189366,1.0,,,
ASO1-95_total_1.2-6_20210630,C13,ASO13_10,KQ974_L20_5-10-5_10uM_P1.2-1,8.271582170000002,0.73,0.6029039138453802,0.22151154275547064,0.7166142176695794,1.0,,,
ASO1-95_total_1.2-6_20210630,C14,ASO13_10,KQ974_L20_5-10-5_10uM_P1.2-1,7.475295230000004,-0.06,1.0424657608411214,0.22151154275547064,1.6311309075287233,1.0,,,
ASO1-95_total_1.2-6_20210630,C15,ASO13_10,KQ974_L20_5-10-5_10uM_P1.2-1,7.742350079999998,0.2,0.8705505632961241,0.22151154275547064,0.7129141201930355,1.0,,,
ASO1-95_total_1.2-6_20210630,C16,ASO13_10,KQ974_L20_5-10-5_10uM_P1.2-1,8.17363511,0.63,0.6461764153187461,0.08729547275329896,0.4854913277199985,1.0,,,
ASO1-95_total_1.2-6_20210630,C17,ASO13_10,KQ974_L20_5-10-5_10uM_P1.2-1,8.41958593,0.88,0.543367431263029,0.08729547275329896,1.034604706856697,1.0,,,
ASO1-95_total_1.2-6_20210630,C18,ASO13_10,KQ974_L20_5-10-5_10uM_P1.2-1,8.0221555,0.48,0.7169776240079136,0.08729547275329896,0.10733477547548305,1.0,,,
ASO1-95_WT_1.2-6_20210630,C13,ASO13_10,KQ974_L20_5-10-5_10uM_P1.2-1,7.485519659999998,-0.94,1.9185282386505287,0.035588522219262966,0.8812012816462822,1.0,,,
ASO1-95_WT_1.2-6_20210630,C14,ASO13_10,KQ974_L20_5-10-5_10uM_P1.2-1,7.453355189999996,-0.98,1.9724654089867184,0.035588522219262966,0.9769367933793996,1.0,,,
ASO1-95_WT_1.2-6_20210630,C15,ASO13_10,KQ974_L20_5-10-5_10uM_P1.2-1,7.4999706800000006,-0.93,1.905275996087875,0.035588522219262966,0.8576792797422297,1.0,,,
ASO1-95_WT_1.2-6_20210630,C16,ASO13_10,KQ974_L20_5-10-5_10uM_P1.2-1,8.429605969999997,0.0,1.0,0.10903632800178134,0.7491358387555639,1.0,,,
ASO1-95_WT_1.2-6_20210630,C17,ASO13_10,KQ974_L20_5-10-5_10uM_P1.2-1,8.50850617,0.08,0.9460576467255959,0.10903632800178134,0.8448805499190397,1.0,,,
ASO1-95_WT_1.2-6_20210630,C18,ASO13_10,KQ974_L20_5-10-5_10uM_P1.2-1,8.772724489999998,0.34,0.7900413118633771,0.10903632800178134,1.1218009660933057,1.0,,,
ASO1-95_MT_1.2-6_20210630,C13,ASO13_10,KQ974_L20_5-10-5_10uM_P1.2-1,7.865402610000004,-0.07,1.0497166836230674,0.14133676862583433,0.9267545060489151,1.0,,,
ASO1-95_MT_1.2-6_20210630,C14,ASO13_10,KQ974_L20_5-10-5_10uM_P1.2-1,7.732820759999999,-0.21,1.1566881839052874,0.14133676862583433,1.3635109077413463,1.0,,,
ASO1-95_MT_1.2-6_20210630,C15,ASO13_10,KQ974_L20_5-10-5_10uM_P1.2-1,8.128886990000002,0.19,0.8766057213160351,0.14133676862583433,0.21995577188831378,1.0,,,
ASO1-95_MT_1.2-6_20210630,C16,ASO13_10,KQ974_L20_5-10-5_10uM_P1.2-1,8.591779209999999,0.65,0.6372803136596311,0.06320238217781056,0.7571914458829125,1.0,,,
ASO1-95_MT_1.2-6_20210630,C17,ASO13_10,KQ974_L20_5-10-5_10uM_P1.2-1,8.514856810000001,0.58,0.668963777393056,0.06320238217781056,0.6278303022432048,1.0,,,
ASO1-95_MT_1.2-6_20210630,C18,ASO13_10,KQ974_L20_5-10-5_10uM_P1.2-1,8.810512200000002,0.87,0.5471468506303697,0.06320238217781056,1.1251994375524579,1.0,,,
ASO1-95_total_1.2-6_20210630,C19,ASO13_3,KQ974_L20_5-10-5_3uM_P1.2-1,8.192459750000001,0.65,0.6372803136596311,0.11851789423981801,0.5482604201512554,1.0,,,
ASO1-95_total_1.2-6_20210630,C20,ASO13_3,KQ974_L20_5-10-5_3uM_P1.2-1,8.06787408,0.53,0.6925547340554623,0.11851789423981801,0.007585231700137728,1.0,,,
ASO1-95_total_1.2-6_20210630,C21,ASO13_3,KQ974_L20_5-10-5_3uM_P1.2-1,7.748963849999999,0.21,0.8645372313078652,0.11851789423981801,1.7370601426573617,1.0,,,
ASO1-95_total_1.2-6_20210630,C22,ASO13_3,KQ974_L20_5-10-5_3uM_P1.2-1,8.202055040000001,0.66,0.63287829698514,0.07718337582920613,0.5925275840648868,1.0,,,
ASO1-95_total_1.2-6_20210630,C23,ASO13_3,KQ974_L20_5-10-5_3uM_P1.2-1,8.309445019999998,0.77,0.5864174746159394,0.07718337582920613,1.0597427246384425,1.0,,,
ASO1-95_total_1.2-6_20210630,C24,ASO13_3,KQ974_L20_5-10-5_3uM_P1.2-1,7.97878927,0.44,0.7371346086455506,0.07718337582920613,0.4558853544970808,1.0,,,
ASO1-95_WT_1.2-6_20210630,C19,ASO13_3,KQ974_L20_5-10-5_3uM_P1.2-1,7.919202290000001,-0.51,1.4240501955970717,0.1535582701912107,1.4469746386241051,1.0,,,
ASO1-95_WT_1.2-6_20210630,C20,ASO13_3,KQ974_L20_5-10-5_3uM_P1.2-1,8.065444679999999,-0.36,1.2834258975629043,0.1535582701912107,0.3117748881223748,1.0,,,
ASO1-95_WT_1.2-6_20210630,C21,ASO13_3,KQ974_L20_5-10-5_3uM_P1.2-1,8.268188989999999,-0.16,1.11728713807222,0.1535582701912107,1.0293921858399604,1.0,,,
ASO1-95_WT_1.2-6_20210630,C22,ASO13_3,KQ974_L20_5-10-5_3uM_P1.2-1,8.28097756,-0.15,1.109569472067845,0.1098277378292617,1.0916935992165695,1.0,,,
