Experiment Name,Position,SampleName,ASO Microsynth ID ,CrossingPoint,CrossingPoint.1,dCt,Avg,SD,ddCt,Avg_ddCt,Exp,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
ASO505-528_MT_20210623,H15,Ionis1375651_3_P43,Ionis1375651_3uM_P43,35.3601618238464,27.64910179648,7.711060027366397,,,0.4002434916821702,,,,,,
ASO505-528_MT_20210623,G16,Ionis676630_10_P43,Ionis676630_10uM_P43,32.489607442637,26.6898488147598,5.799758627877203,,,-1.5110579078070234,-1.436707422164958,2.707023519414253,,,,
ASO505-528_MT_20210623,G17,Ionis676630_10_P43,Ionis676630_10uM_P43,32.7993469732911,26.7715728904307,6.0277740828604,,,-1.2830424528238265,,,,,,
ASO505-528_MT_20210623,G18,Ionis676630_10_P43,Ionis676630_10uM_P43,32.6608358367162,26.866041206896,5.794794629820203,,,-1.516021905864024,,,,,,
ASO505-528_MT_20210623,H16,Ionis676630_10_P43,Ionis676630_10uM_P43,33.8618396881841,27.1626081494994,6.6992315386847,,,-0.6115849969995271,-0.9793031900112611,1.9715129542448793,,,,
ASO505-528_MT_20210623,H17,Ionis676630_10_P43,Ionis676630_10uM_P43,33.2095714950392,27.2219785536906,5.987592941348598,,,-1.3232235943356283,,,,,,
ASO505-528_MT_20210623,H18,Ionis676630_10_P43,Ionis676630_10uM_P43,33.6045079441284,27.2967923871428,6.307715556985599,,,-1.0031009786986278,,,,,,
ASO505-528_MT_20210623,A1,ASO505_10,KQ2085_L20_6-08-6_10uM_P43,34.9601837690146,26.8682193545517,8.091964414462897,,,0.7811478787786701,1.084050739299539,0.4717025354709755,,,,
ASO505-528_MT_20210623,A2,ASO505_10,KQ2085_L20_6-08-6_10uM_P43,34.8638105289862,26.8251521225418,8.038658406444398,,,0.7278418707601713,,,,,,
ASO505-528_MT_20210623,A3,ASO505_10,KQ2085_L20_6-08-6_10uM_P43,35.9766848002763,26.9227057962323,9.053979004044002,,,1.7431624683597757,,,,,,
ASO505-528_MT_20210623,A4,ASO505_10,KQ2085_L20_6-08-6_10uM_P43,34.8663240657017,26.9974658931823,7.868858172519396,,,0.5580416368351688,0.5520353045607719,0.68205722643794,,,,
ASO505-528_MT_20210623,A5,ASO505_10,KQ2085_L20_6-08-6_10uM_P43,34.7768885721825,26.9669324382697,7.809956133912799,,,0.499139598228572,,,,,,
ASO505-528_MT_20210623,A6,ASO505_10,KQ2085_L20_6-08-6_10uM_P43,34.9190190149513,27.0092778006485,7.909741214302802,,,0.5989246786185749,,,,,,
ASO505-528_MT_20210623,A7,ASO505_3,KQ2085_L20_6-08-6_3uM_P43,33.1688437237288,24.7500314389479,8.418812284780898,,,1.1079957490966716,1.3472035308080728,0.39305319146982753,,,,
ASO505-528_MT_20210623,A8,ASO505_3,KQ2085_L20_6-08-6_3uM_P43,33.3427004641098,24.7086714594825,8.634029004627298,,,1.3232124689430709,,,,,,
ASO505-528_MT_20210623,A9,ASO505_3,KQ2085_L20_6-08-6_3uM_P43,33.6429696519219,24.7217507418532,8.921218910068703,,,1.610402374384476,,,,,,
ASO505-528_MT_20210623,A10,ASO505_3,KQ2085_L20_6-08-6_3uM_P43,32.7182531380838,24.1086058472008,8.609647290883004,,,1.298830755198777,1.1908577473606428,0.4380423472627194,,,,
ASO505-528_MT_20210623,A11,ASO505_3,KQ2085_L20_6-08-6_3uM_P43,32.4697175490833,24.1292969316495,8.3404206174338,,,1.0296040817495733,,,,,,
