Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp,,,
ASO42-266_MT_1.2-7_20210701,C8,ASO66_3,KQ928_L20_5-10-5_3uM_P1.2-3,30.26071229,22.07155595,8.19,,,,0.60,,,,,
ASO42-266_MT_1.2-7_20210701,C9,ASO66_3,KQ928_L20_5-10-5_3uM_P1.2-3,30.10155413,22.09185836,8.01,,,,0.42,,,,,
ASO42-266_MT_1.2-7_20210701,C10,ASO66_3,KQ928_L20_5-10-5_3uM_P1.2-3,30.69900212,22.63554073,8.06,,,,0.47,0.49,0.71,,,
ASO42-266_MT_1.2-7_20210701,C11,ASO66_3,KQ928_L20_5-10-5_3uM_P1.2-3,30.80659048,22.67026313,8.14,,,,0.54,,,,,
ASO42-266_MT_1.2-7_20210701,C12,ASO66_3,KQ928_L20_5-10-5_3uM_P1.2-3,30.7668038,22.70051809,8.07,,,,0.47,,,,,
ASO42-266_MT_1.2-7_20210701,C13,ASO260_10,KQJM113_L17_5-08-4_10uM_P1.2-3,30.26126476,22.65323591,7.61,,,,0.01,0.14,0.91,,,
ASO42-266_MT_1.2-7_20210701,C14,ASO260_10,KQJM113_L17_5-08-4_10uM_P1.2-3,30.46080785,22.64341065,7.82,,,,0.22,,,,,
ASO42-266_MT_1.2-7_20210701,C15,ASO260_10,KQJM113_L17_5-08-4_10uM_P1.2-3,30.45988499,22.69272567,7.77,,,,0.17,,,,,
ASO42-266_MT_1.2-7_20210701,C16,ASO260_10,KQJM113_L17_5-08-4_10uM_P1.2-3,30.0920186,22.30311715,7.79,,,,0.19,0.20,0.87,,,
ASO42-266_MT_1.2-7_20210701,C17,ASO260_10,KQJM113_L17_5-08-4_10uM_P1.2-3,30.04843261,22.31425161,7.73,,,,0.14,,,,,
ASO42-266_MT_1.2-7_20210701,C18,ASO260_10,KQJM113_L17_5-08-4_10uM_P1.2-3,30.2326076,22.38237511,7.85,,,,0.26,,,,,
ASO42-266_MT_1.2-7_20210701,C19,ASO260_3,KQJM113_L17_5-08-4_3uM_P1.2-3,30.32995159,22.73422311,7.60,,,,0.00,0.09,0.94,,,
ASO42-266_MT_1.2-7_20210701,C20,ASO260_3,KQJM113_L17_5-08-4_3uM_P1.2-3,30.4769709,22.75567011,7.72,,,,0.13,,,,,
ASO42-266_MT_1.2-7_20210701,C21,ASO260_3,KQJM113_L17_5-08-4_3uM_P1.2-3,30.55204787,22.8072298,7.74,,,,0.15,,,,,
ASO42-266_MT_1.2-7_20210701,C22,ASO260_3,KQJM113_L17_5-08-4_3uM_P1.2-3,30.3934014,22.64924969,7.74,,,,0.15,0.16,0.90,,,
ASO42-266_MT_1.2-7_20210701,C23,ASO260_3,KQJM113_L17_5-08-4_3uM_P1.2-3,30.30258868,22.64311364,7.66,,,,0.07,,,,,
ASO42-266_MT_1.2-7_20210701,C24,ASO260_3,KQJM113_L17_5-08-4_3uM_P1.2-3,30.53904775,22.68867912,7.85,,,,0.26,,,,,
ASO42-266_MT_1.2-7_20210701,D1,ASO67_10,KQ927_L20_5-10-5_10uM_P1.2-3,32.59797272,24.31674957,8.28,,,,0.69,0.52,0.70,,,
ASO42-266_MT_1.2-7_20210701,D2,ASO67_10,KQ927_L20_5-10-5_10uM_P1.2-3,32.31370177,24.2937099,8.02,,,,0.43,,,,,
ASO42-266_MT_1.2-7_20210701,D3,ASO67_10,KQ927_L20_5-10-5_10uM_P1.2-3,32.37908614,24.34421827,8.03,,,,0.44,,,,,
ASO42-266_MT_1.2-7_20210701,D4,ASO67_10,KQ927_L20_5-10-5_10uM_P1.2-3,34.0967286,25.27145921,8.83,,,,1.23,1.14,0.45,,,
ASO42-266_MT_1.2-7_20210701,D5,ASO67_10,KQ927_L20_5-10-5_10uM_P1.2-3,34.07077942,25.31256983,8.76,,,,1.16,,,,,
ASO42-266_MT_1.2-7_20210701,D6,ASO67_10,KQ927_L20_5-10-5_10uM_P1.2-3,33.86213776,25.2489474,8.61,,,,1.02,,,,,
ASO42-266_MT_1.2-7_20210701,D7,ASO67_3,KQ927_L20_5-10-5_3uM_P1.2-3,30.13724041,22.20889014,7.93,,,,0.33,0.39,0.76,,,
ASO42-266_MT_1.2-7_20210701,D8,ASO67_3,KQ927_L20_5-10-5_3uM_P1.2-3,30.26034582,22.21268439,8.05,,,,0.45,,,,,
ASO42-266_MT_1.2-7_20210701,D9,ASO67_3,KQ927_L20_5-10-5_3uM_P1.2-3,30.20119867,22.23072972,7.97,,,,0.38,,,,,
ASO42-266_MT_1.2-7_20210701,D10,ASO67_3,KQ927_L20_5-10-5_3uM_P1.2-3,31.87972541,23.65495596,8.22,,,,0.63,0.60,0.66,,,
ASO42-266_MT_1.2-7_20210701,D11,ASO67_3,KQ927_L20_5-10-5_3uM_P1.2-3,31.77960915,23.72763324,8.05,,,,0.46,,,,,
ASO42-266_MT_1.2-7_20210701,D12,ASO67_3,KQ927_L20_5-10-5_3uM_P1.2-3,32.04172404,23.72494287,8.32,,,,0.72,,,,,
ASO42-266_MT_1.2-7_20210701,D13,ASO263_10,KQJM116_L18_4-10-4_10uM_P1.2-3,30.4740643,22.81476761,7.66,,,,0.07,0.12,0.92,,,
ASO42-266_MT_1.2-7_20210701,D14,ASO263_10,KQJM116_L18_4-10-4_10uM_P1.2-3,30.61086839,22.83527308,7.78,,,,0.18,,,,,
ASO42-266_MT_1.2-7_20210701,D15,ASO263_10,KQJM116_L18_4-10-4_10uM_P1.2-3,30.59448957,22.89796496,7.70,,,,0.10,,,,,
ASO42-266_MT_1.2-7_20210701,D16,ASO263_10,KQJM116_L18_4-10-4_10uM_P1.2-3,31.06906992,24.06900247,7.00,,,,-0.59,-0.49,1.40,,,
ASO42-266_MT_1.2-7_20210701,D17,ASO263_10,KQJM116_L18_4-10-4_10uM_P1.2-3,31.2380954,24.01206328,7.23,,,,-0.37,,,,,
ASO42-266_MT_1.2-7_20210701,D18,ASO263_10,KQJM116_L18_4-10-4_10uM_P1.2-3,31.16661223,24.06894413,7.10,,,,-0.50,,,,,
ASO42-266_MT_1.2-7_20210701,D19,ASO263_3,KQJM116_L18_4-10-4_3uM_P1.2-3,31.73799913,23.43791606,8.30,,,,0.71,0.56,0.68,,,
ASO42-266_MT_1.2-7_20210701,D20,ASO263_3,KQJM116_L18_4-10-4_3uM_P1.2-3,31.4696591,23.41086291,8.06,,,,0.46,,,,,
ASO42-266_MT_1.2-7_20210701,D21,ASO263_3,KQJM116_L18_4-10-4_3uM_P1.2-3,31.64358332,23.52737504,8.12,,,,0.52,,,,,
ASO42-266_MT_1.2-7_20210701,D22,ASO263_3,KQJM116_L18_4-10-4_3uM_P1.2-3,30.12136569,22.64998841,7.47,,,,-0.12,-0.02,1.02,,,
ASO42-266_MT_1.2-7_20210701,D23,ASO263_3,KQJM116_L18_4-10-4_3uM_P1.2-3,30.23477085,22.626426,7.61,,,,0.01,,,,,
ASO42-266_MT_1.2-7_20210701,D24,ASO263_3,KQJM116_L18_4-10-4_3uM_P1.2-3,30.29832136,22.66215203,7.64,,,,0.04,,,,,
ASO42-266_MT_1.2-7_20210701,E1,ASO258_10,KQJM111_L17_4-10-3_10uM_P1.2-3,30.66996142,22.884442,7.79,,,,0.19,0.21,0.86,,,
ASO42-266_MT_1.2-7_20210701,E2,ASO258_10,KQJM111_L17_4-10-3_10uM_P1.2-3,30.60768762,22.85303112,7.75,,,,0.16,,,,,
ASO42-266_MT_1.2-7_20210701,E3,ASO258_10,KQJM111_L17_4-10-3_10uM_P1.2-3,30.86575341,22.98527006,7.88,,,,0.29,,,,,
ASO42-266_MT_1.2-7_20210701,E4,ASO258_10,KQJM111_L17_4-10-3_10uM_P1.2-3,32.38941782,23.94297812,8.45,,,,0.85,0.91,0.53,,,
