Experiment Name,Position,SampleName,ASO Microsynth ID ,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 7,Avg,SD,ddCt,Avg_ddCt,Exp,Unnamed: 13,Unnamed: 14,Unnamed: 15
ASO469-516_MT_1.2-4_20210630,A7,ASO469_3,KQ2049_L21_7-08-6_3uM_P40,31.0736603177511,21.9914715823918,9.0821887353593,,,,0.21816895201964215,0.24630957217894314,0.8430501899032612,,,
ASO469-516_MT_1.2-4_20210630,A8,ASO469_3,KQ2049_L21_7-08-6_3uM_P40,31.0711074138824,21.990169588071,9.0809378258114,,,,0.21691804247174318,,,,,
ASO469-516_MT_1.2-4_20210630,A9,ASO469_3,KQ2049_L21_7-08-6_3uM_P40,31.2263463157006,22.0584848103155,9.167861505385101,,,,0.30384172204544413,,,,,
ASO469-516_MT_1.2-4_20210630,A10,ASO469_3,KQ2049_L21_7-08-6_3uM_P40,32.0419883664113,22.5451649647743,9.496823401637002,,,,0.6328036182973449,0.624009562705878,0.6488650825422805,,,
ASO469-516_MT_1.2-4_20210630,A11,ASO469_3,KQ2049_L21_7-08-6_3uM_P40,31.972169326095,22.5902274151958,9.3819419108992,,,,0.5179221275595438,,,,,
ASO469-516_MT_1.2-4_20210630,A12,ASO469_3,KQ2049_L21_7-08-6_3uM_P40,32.2379573939639,22.6526346683635,9.585322725600403,,,,0.7213029422607455,,,,,
ASO469-516_MT_1.2-4_20210630,B1,ASO470_10,KQ2050_L20_6-08-6_10uM_P40,33.7160932564747,24.1367053758331,9.579387880641601,,,,0.7153680973019441,0.33685471880004175,0.7917655936451254,,,
ASO469-516_MT_1.2-4_20210630,B2,ASO470_10,KQ2050_L20_6-08-6_10uM_P40,33.1633895798865,24.1091068153973,9.054282764489198,,,,0.19026298114954088,,,,,
ASO469-516_MT_1.2-4_20210630,B3,ASO470_10,KQ2050_L20_6-08-6_10uM_P40,33.0405794506694,24.0716265893811,8.968952861288297,,,,0.10493307794864037,,,,,
ASO469-516_MT_1.2-4_20210630,B4,ASO470_10,KQ2050_L20_6-08-6_10uM_P40,33.9443438384943,24.7017563562184,9.242587482275898,,,,0.37856769893624076,0.2592095574612756,0.8355455836321602,,,
ASO469-516_MT_1.2-4_20210630,B5,ASO470_10,KQ2050_L20_6-08-6_10uM_P40,33.5500249517796,24.6789691553668,8.871055796412797,,,,0.007036013073140168,,,,,
ASO469-516_MT_1.2-4_20210630,B6,ASO470_10,KQ2050_L20_6-08-6_10uM_P40,33.9308538189995,24.6748090752854,9.256044743714103,,,,0.3920249603744459,,,,,
ASO469-516_MT_1.2-4_20210630,B7,ASO470_3,KQ2050_L20_6-08-6_3uM_P40,31.0978424325831,22.1652629233043,8.9325795092788,,,,0.06855972593914217,0.022530583828409334,0.984504302516515,,,
ASO469-516_MT_1.2-4_20210630,B8,ASO470_3,KQ2050_L20_6-08-6_3uM_P40,30.9882142580663,22.1141729736354,8.874041284430898,,,,0.010021501091241447,,,,,
ASO469-516_MT_1.2-4_20210630,B9,ASO470_3,KQ2050_L20_6-08-6_3uM_P40,30.9776995365515,22.124669228757,8.853030307794501,,,,-0.010989475545155614,,,,,
ASO469-516_MT_1.2-4_20210630,B10,ASO470_3,KQ2050_L20_6-08-6_3uM_P40,31.258591421758,22.0530567648574,9.2055346569006,,,,0.3415148735609428,0.3768922941900428,0.7700946642607572,,,
ASO469-516_MT_1.2-4_20210630,B11,ASO470_3,KQ2050_L20_6-08-6_3uM_P40,31.2588855196876,22.0603649474587,9.198520572228897,,,,0.3345007888892404,,,,,
ASO469-516_MT_1.2-4_20210630,B12,ASO470_3,KQ2050_L20_6-08-6_3uM_P40,31.4403751967581,22.1216941932985,9.318681003459602,,,,0.45466122011994514,,,,,
ASO469-516_MT_1.2-4_20210630,C1,ASO471_10,KQ2051_L21_7-08-6_10uM_P40,35.2099038979828,26.0513458214514,9.1585580765314,,,,0.2945382931917422,0.24256848598484146,0.8452391599420118,,,
ASO469-516_MT_1.2-4_20210630,C2,ASO471_10,KQ2051_L21_7-08-6_10uM_P40,35.5685300826267,26.0354799450761,9.5330501375506,,,,0.6690303542109426,,,,,
ASO469-516_MT_1.2-4_20210630,C3,ASO471_10,KQ2051_L21_7-08-6_10uM_P40,34.6267871047126,25.9986305108211,8.628156593891497,,,,-0.23586318944816043,,,,,
ASO469-516_MT_1.2-4_20210630,C4,ASO471_10,KQ2051_L21_7-08-6_10uM_P40,36.2037623769058,26.5701550963289,9.6336072805769,,,,0.769587497237243,1.2281832013992104,0.4268546493885815,,,
ASO469-516_MT_1.2-4_20210630,C5,ASO471_10,KQ2051_L21_7-08-6_10uM_P40,37.157950540193,26.5798593282282,10.5780912119648,,,,1.714071428625143,,,,,
ASO469-516_MT_1.2-4_20210630,C6,ASO471_10,KQ2051_L21_7-08-6_10uM_P40,36.6887829657009,26.623872504026,10.064910461674902,,,,1.200890678335245,,,,,
ASO469-516_MT_1.2-4_20210630,C7,ASO471_3,KQ2051_L21_7-08-6_3uM_P40,33.2718386597868,23.1280477734485,10.143790886338302,,,,1.2797711029986445,1.145258414263644,0.45210870021571953,,,
ASO469-516_MT_1.2-4_20210630,C8,ASO471_3,KQ2051_L21_7-08-6_3uM_P40,33.1493182365247,23.1137329604318,10.035585276092899,,,,1.171565492753242,,,,,
ASO469-516_MT_1.2-4_20210630,C9,ASO471_3,KQ2051_L21_7-08-6_3uM_P40,32.9565649367767,23.108106506398,9.848458430378702,,,,0.9844386470390454,,,,,
ASO469-516_MT_1.2-4_20210630,C10,ASO471_3,KQ2051_L21_7-08-6_3uM_P40,34.1700990631482,23.3921499450477,10.777949118100501,,,,1.9139293347608444,1.620460540929643,0.3252316259871569,,,
ASO469-516_MT_1.2-4_20210630,C11,ASO471_3,KQ2051_L21_7-08-6_3uM_P40,33.8984654225834,23.4207868929686,10.4776785296148,,,,1.6136587462751422,,,,,
ASO469-516_MT_1.2-4_20210630,C12,ASO471_3,KQ2051_L21_7-08-6_3uM_P40,33.6219565157661,23.4241431906735,10.1978133250926,,,,1.333793541752943,,,,,
ASO469-516_MT_1.2-4_20210630,D1,ASO472_10,KQ2052_L21_7-08-6_10uM_P40,34.3346577925084,26.9065980564113,7.428059736097101,,,,-1.4359600472425562,-1.1082773380991557,2.1558806883968398,,,
ASO469-516_MT_1.2-4_20210630,D2,ASO472_10,KQ2052_L21_7-08-6_10uM_P40,34.870681919364,26.8733425293854,7.9973393899786025,,,,-0.8666803933610545,,,,,
ASO469-516_MT_1.2-4_20210630,D3,ASO472_10,KQ2052_L21_7-08-6_10uM_P40,34.7073876820754,26.8655594724296,7.841828209645801,,,,-1.0221915736938563,,,,,
ASO469-516_MT_1.2-4_20210630,D4,ASO472_10,KQ2052_L21_7-08-6_10uM_P40,36.5668589770294,27.8309863353459,8.735872641683496,,,,-0.1281471416561608,-0.8601045931048598,1.8151699028064037,,,
ASO469-516_MT_1.2-4_20210630,D5,ASO472_10,KQ2052_L21_7-08-6_10uM_P40,35.2289896372836,27.8105176374598,7.418471999823797,,,,-1.4455477835158597,,,,,
ASO469-516_MT_1.2-4_20210630,D6,ASO472_10,KQ2052_L21_7-08-6_10uM_P40,35.68969974095,27.8322988117529,7.857400929197098,,,,-1.006618854142559,,,,,
ASO469-516_MT_1.2-4_20210630,D7,ASO472_3,KQ2052_L21_7-08-6_3uM_P40,32.4455682917958,24.0846877885408,8.360880503255,,,,-0.5031392800846568,-0.4388479999004223,1.355521503644677,,,
ASO469-516_MT_1.2-4_20210630,D8,ASO472_3,KQ2052_L21_7-08-6_3uM_P40,32.306515596966,24.0060601944117,8.300455402554302,,,,-0.5635643807853548,,,,,
ASO469-516_MT_1.2-4_20210630,D9,ASO472_3,KQ2052_L21_7-08-6_3uM_P40,32.6544987867705,24.0403193422621,8.614179444508402,,,,-0.24984033883125534,,,,,
ASO469-516_MT_1.2-4_20210630,D10,ASO472_3,KQ2052_L21_7-08-6_3uM_P40,33.2680153152506,25.0832545367522,8.1847607784984,,,,-0.6792590048412563,-0.884648487512789,1.8463147122753332,,,
ASO469-516_MT_1.2-4_20210630,D11,ASO472_3,KQ2052_L21_7-08-6_3uM_P40,32.9211526660694,24.9957218028516,7.925430863217802,,,,-0.9385889201218554,,,,,
ASO469-516_MT_1.2-4_20210630,D12,ASO472_3,KQ2052_L21_7-08-6_3uM_P40,32.872892453859,25.0449702080946,7.827922245764402,,,,-1.0360975375752552,,,,,
ASO469-516_MT_1.2-4_20210630,E1,ASO473_10,KQ2053_L21_7-08-6_10uM_P40,34.3502349444171,24.8081664138499,9.542068530567203,,,,0.678048747227546,0.43093698101437755,0.7417798682199136,,,
ASO469-516_MT_1.2-4_20210630,E2,ASO473_10,KQ2053_L21_7-08-6_10uM_P40,33.8427962852847,24.7803974100262,9.062398875258499,,,,0.1983790919188415,,,,,
ASO469-516_MT_1.2-4_20210630,E3,ASO473_10,KQ2053_L21_7-08-6_10uM_P40,34.0898481162202,24.8094452289838,9.280402887236402,,,,0.41638310389674515,,,,,
ASO469-516_MT_1.2-4_20210630,E4,ASO473_10,KQ2053_L21_7-08-6_10uM_P40,34.0124990751709,25.6530159314474,8.359483143723502,,,,-0.5045366396161555,-0.37097137244219053,1.2932232700600101,,,
ASO469-516_MT_1.2-4_20210630,E5,ASO473_10,KQ2053_L21_7-08-6_10uM_P40,34.5442124523022,25.6302300798474,8.913982372454797,,,,0.04996258911513962,,,,,
ASO469-516_MT_1.2-4_20210630,E6,ASO473_10,KQ2053_L21_7-08-6_10uM_P40,33.8692667629912,25.6635870464771,8.205679716514101,,,,-0.6583400668255557,,,,,
ASO469-516_MT_1.2-4_20210630,E7,ASO473_3,KQ2053_L21_7-08-6_3uM_P40,32.6259513634274,23.2032860837036,9.422665279723798,,,,0.5586454963841412,0.5606708022564094,0.677986850477137,,,
ASO469-516_MT_1.2-4_20210630,E8,ASO473_3,KQ2053_L21_7-08-6_3uM_P40,32.6073592284749,23.133938566067,9.4734206624079,,,,0.609400879068243,,,,,
ASO469-516_MT_1.2-4_20210630,E9,ASO473_3,KQ2053_L21_7-08-6_3uM_P40,32.5045381930165,23.12655237836,9.377985814656501,,,,0.5139660313168442,,,,,
ASO469-516_MT_1.2-4_20210630,E10,ASO473_3,KQ2053_L21_7-08-6_3uM_P40,32.2365270711119,23.6916786157106,8.5448484554013,,,,-0.31917132793835634,-0.4229789086042904,1.3406929912543477,,,
ASO469-516_MT_1.2-4_20210630,E11,ASO473_3,KQ2053_L21_7-08-6_3uM_P40,32.1330977523646,23.6544678452302,8.478629907134398,,,,-0.38538987620525944,,,,,
ASO469-516_MT_1.2-4_20210630,E12,ASO473_3,KQ2053_L21_7-08-6_3uM_P40,31.9735938626198,23.6739496009494,8.299644261670402,,,,-0.5643755216692554,,,,,
ASO469-516_MT_1.2-4_20210630,F1,ASO474_10,KQ2054_L21_7-08-6_10uM_P40,33.6688143813994,24.6796181999554,8.989196181444001,,,,0.1251763981043439,-0.03775571868188976,1.0265157183785127,,,
ASO469-516_MT_1.2-4_20210630,F2,ASO474_10,KQ2054_L21_7-08-6_10uM_P40,33.5101820491997,24.6566722972775,8.8535097519222,,,,-0.0105100314174571,,,,,
ASO469-516_MT_1.2-4_20210630,F3,ASO474_10,KQ2054_L21_7-08-6_10uM_P40,33.272828735047,24.6367424744399,8.636086260607101,,,,-0.22793352273255607,,,,,
ASO469-516_MT_1.2-4_20210630,F4,ASO474_10,KQ2054_L21_7-08-6_10uM_P40,35.0023663739171,26.2569853165154,8.745381057401698,,,,-0.11863872593795932,0.028561581334109576,0.9803973017018407,,,
ASO469-516_MT_1.2-4_20210630,F5,ASO474_10,KQ2054_L21_7-08-6_10uM_P40,35.2474960965137,26.2054177494662,9.0420783470475,,,,0.17805856370784312,,,,,
ASO469-516_MT_1.2-4_20210630,F6,ASO474_10,KQ2054_L21_7-08-6_10uM_P40,35.1197415556693,26.2294568660972,8.890284689572102,,,,0.02626490623244493,,,,,
ASO469-516_MT_1.2-4_20210630,F7,ASO474_3,KQ2054_L21_7-08-6_3uM_P40,32.7561031150935,24.5715889125748,8.184514202518702,,,,-0.6795055808209547,-0.7190915102719883,1.6461451023730485,,,
ASO469-516_MT_1.2-4_20210630,F8,ASO474_3,KQ2054_L21_7-08-6_3uM_P40,32.8402783228369,24.5489918074575,8.2912865153794,,,,-0.5727332679602561,,,,,
