Experiment Name,Position,SampleName,ASO Short Description ,Target SNP ID,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 8,Avg,SD,ddCt,Avg_ddCt,Exp
Rd2.3_P7+8_Total_20210726,J13,BS190_10_P2.3-8,BS190_TMO_10uM_P2.3-8,rs112267440,28.3952297182912,22.6535628391829,5.741666879108301,,,,-0.27787375332144926,-0.23782735042941697,1.1792154652590108
Rd2.3_P7+8_Total_20210726,J14,BS190_10_P2.3-8,BS190_TMO_10uM_P2.3-8,rs112267440,28.5886008382879,22.7313971703267,5.857203667961198,,,,-0.16233696446855284,,
Rd2.3_P7+8_Total_20210726,J15,BS190_10_P2.3-8,BS190_TMO_10uM_P2.3-8,rs112267440,28.5106804202657,22.7644111213342,5.746269298931502,,,,-0.27327133349824884,,
Rd2.3_P7+8_Total_20210726,J7,BS190_3_P2.3-8,BS190_TMO_3uM_P2.3-8,rs112267440,28.4865940047644,22.675859136687,5.8107348680774,,,,-0.2088057643523502,-0.21864350897448345,1.1636389628144757
Rd2.3_P7+8_Total_20210726,J8,BS190_3_P2.3-8,BS190_TMO_3uM_P2.3-8,rs112267440,28.5261269717815,22.7442050163262,5.781921955455299,,,,-0.23761867697445105,,
Rd2.3_P7+8_Total_20210726,J9,BS190_3_P2.3-8,BS190_TMO_3uM_P2.3-8,rs112267440,28.5774206355272,22.7673860886941,5.810034546833101,,,,-0.20950608559664907,,
Rd2.3_P7+8_Total_20210726,J19,BS190_3_P2.3-8,BS190_TMO_3uM_P2.3-8,rs112267440,28.3184793830186,22.6333131501573,5.685166232861302,,,,-0.33437439956844806,-0.37489682799171636,1.2967468165785554
Rd2.3_P7+8_Total_20210726,J20,BS190_3_P2.3-8,BS190_TMO_3uM_P2.3-8,rs112267440,28.3813753826434,22.7498895254296,5.6314858572138,,,,-0.38805477521595044,,
Rd2.3_P7+8_Total_20210726,J21,BS190_3_P2.3-8,BS190_TMO_3uM_P2.3-8,rs112267440,28.4173331784726,22.8000538552336,5.617279323239,,,,-0.40226130919075054,,
Rd2.3_P7+8_Total_20210726,K1,BS191_10_P2.3-8,BS191_TMO_10uM_P2.3-8,rs112267440,33.079411935803,26.4457746961766,6.6336372396264025,,,,0.614096607196652,0.6622186228084832,0.6319057843687679
Rd2.3_P7+8_Total_20210726,K2,BS191_10_P2.3-8,BS191_TMO_10uM_P2.3-8,rs112267440,33.3956988053548,26.5533182826903,6.842380522664499,,,,0.8228398902347482,,
Rd2.3_P7+8_Total_20210726,K3,BS191_10_P2.3-8,BS191_TMO_10uM_P2.3-8,rs112267440,33.110869737426,26.5416097340022,6.5692600034238,,,,0.5497193709940493,,
Rd2.3_P7+8_Total_20210726,K13,BS191_10_P2.3-8,BS191_TMO_10uM_P2.3-8,rs112267440,29.7502498988126,22.9277581821972,6.822491716615403,,,,0.8029510841856524,0.8299634578666512,0.5625434908711816
Rd2.3_P7+8_Total_20210726,K14,BS191_10_P2.3-8,BS191_TMO_10uM_P2.3-8,rs112267440,29.8547361680713,23.0758581989483,6.778877969123002,,,,0.7593373366932514,,
Rd2.3_P7+8_Total_20210726,K15,BS191_10_P2.3-8,BS191_TMO_10uM_P2.3-8,rs112267440,30.0456737222908,23.09853113714,6.9471425851508,,,,0.9276019527210497,,
Rd2.3_P7+8_Total_20210726,K7,BS191_3_P2.3-8,BS191_TMO_3uM_P2.3-8,rs112267440,30.2214314464083,23.7524370261918,6.4689944202165,,,,0.4494537877867497,0.5111962667224154,0.7016404041553832
Rd2.3_P7+8_Total_20210726,K8,BS191_3_P2.3-8,BS191_TMO_3uM_P2.3-8,rs112267440,30.3774802861354,23.8617515594305,6.5157287267049,,,,0.49618809427514954,,
Rd2.3_P7+8_Total_20210726,K9,BS191_3_P2.3-8,BS191_TMO_3uM_P2.3-8,rs112267440,30.4320209775597,23.8245334270246,6.607487550535097,,,,0.5879469181053469,,
Rd2.3_P7+8_Total_20210726,K19,BS191_3_P2.3-8,BS191_TMO_3uM_P2.3-8,rs112267440,29.1232147582359,22.973277331676,6.149937426559898,,,,0.1303967941301476,0.10426180916814982,0.9302808221958745
Rd2.3_P7+8_Total_20210726,K20,BS191_3_P2.3-8,BS191_TMO_3uM_P2.3-8,rs112267440,29.1766732898058,23.0416571279918,6.135016161814001,,,,0.11547552938425021,,
Rd2.3_P7+8_Total_20210726,K21,BS191_3_P2.3-8,BS191_TMO_3uM_P2.3-8,rs112267440,29.2043202710554,23.1178665346356,6.086453736419802,,,,0.06691310399005168,,
Rd2.3_P7+8_Total_20210726,L1,BS192_10_P2.3-8,BS192_TMO_10uM_P2.3-8,rs112267440,30.6630344985383,23.5643739984174,7.0986605001209,,,,1.0791198676911495,0.9869244212860178,0.5045522482956725
Rd2.3_P7+8_Total_20210726,L2,BS192_10_P2.3-8,BS192_TMO_10uM_P2.3-8,rs112267440,30.5785448353859,23.6938956956928,6.884649139693103,,,,0.8651085072633524,,
Rd2.3_P7+8_Total_20210726,L3,BS192_10_P2.3-8,BS192_TMO_10uM_P2.3-8,rs112267440,30.7228630300188,23.6867775086855,7.036085521333302,,,,1.0165448889035513,,
Rd2.3_P7+8_Total_20210726,L13,BS192_10_P2.3-8,BS192_TMO_10uM_P2.3-8,rs112267440,29.7859606988812,23.4257123947171,6.360248304164102,,,,0.3407076717343518,0.36280246021641754,0.7776525079971075
Rd2.3_P7+8_Total_20210726,L14,BS192_10_P2.3-8,BS192_TMO_10uM_P2.3-8,rs112267440,29.9990352374644,23.5545844509622,6.444450786502202,,,,0.42491015407245136,,
Rd2.3_P7+8_Total_20210726,L15,BS192_10_P2.3-8,BS192_TMO_10uM_P2.3-8,rs112267440,29.9367962430072,23.594466055735,6.3423301872722,,,,0.32278955484244953,,
Rd2.3_P7+8_Total_20210726,L7,BS192_3_P2.3-8,BS192_TMO_3uM_P2.3-8,rs112267440,28.9489160377967,22.7321079262283,6.216808111568401,,,,0.19726747913865061,0.16785058411748408,0.8901679206756414
Rd2.3_P7+8_Total_20210726,L8,BS192_3_P2.3-8,BS192_TMO_3uM_P2.3-8,rs112267440,28.9312859947711,22.7682288125631,6.163057182208,,,,0.14351654977824957,,
