Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,Avg,dCt,Unnamed: 7,Avg.1,SD,ddCt,Avg_ddCt,Exp
ASO433-456_WT_20210622,F5,ASO438_10,KQ2018_L19_5-10-4_10uM_P37,33.3165740725768,24.5217843380111,8.7947897345657,,,,0.18022906613791534,,
ASO433-456_WT_20210622,F6,ASO438_10,KQ2018_L19_5-10-4_10uM_P37,33.3604389651815,24.594201027342,8.766237937839502,,,,0.15167726941171722,,
ASO433-456_WT_20210622,F7,ASO438_3,KQ2018_L19_5-10-4_3uM_P37,31.6453047052858,22.5023007901488,9.143003915136998,,,,0.5284432467092124,0.4025292786681132,0.7565307986134793
ASO433-456_WT_20210622,F8,ASO438_3,KQ2018_L19_5-10-4_3uM_P37,31.29158352634,22.2963832100151,8.995200316324897,,,,0.38063964789711235,,
ASO433-456_WT_20210622,F9,ASO438_3,KQ2018_L19_5-10-4_3uM_P37,31.2886896292194,22.3756240193936,8.9130656098258,,,,0.298504941398015,,
ASO433-456_WT_20210622,F10,ASO438_3,KQ2018_L19_5-10-4_3uM_P37,31.8955436165882,22.8390599201711,9.0564836964171,,,,0.44192302798931493,0.36183430511124826,0.7781745455051703
ASO433-456_WT_20210622,F11,ASO438_3,KQ2018_L19_5-10-4_3uM_P37,31.6756167166863,22.7241504242212,8.9514662924651,,,,0.33690562403731406,,
ASO433-456_WT_20210622,F12,ASO438_3,KQ2018_L19_5-10-4_3uM_P37,31.65539017269,22.7341552409551,8.921234931734901,,,,0.3066742633071158,,
ASO433-456_WT_20210622,A13,ASO439_10,KQ2019_L21_6-10-5_10uM_P37,34.5053379553957,25.399067797868,9.106270157527703,,,,0.4917094890999181,0.401674761275616,0.7569790293196292
ASO433-456_WT_20210622,A14,ASO439_10,KQ2019_L21_6-10-5_10uM_P37,34.3442839195837,25.4101158203459,8.934168099237802,,,,0.3196074308100165,,
ASO433-456_WT_20210622,A15,ASO439_10,KQ2019_L21_6-10-5_10uM_P37,34.3789607193431,25.3706926869984,9.008268032344699,,,,0.3937073639169135,,
ASO433-456_WT_20210622,A16,ASO439_10,KQ2019_L21_6-10-5_10uM_P37,34.9716219257581,25.8362083791633,9.135413546594801,,,,0.5208528781670161,0.5548910832725807,0.6807084466136453
ASO433-456_WT_20210622,A17,ASO439_10,KQ2019_L21_6-10-5_10uM_P37,35.0183963312308,25.8077836230336,9.210612708197196,,,,0.5960520397694111,,
ASO433-456_WT_20210622,A18,ASO439_10,KQ2019_L21_6-10-5_10uM_P37,35.0075406272085,25.8452116268994,9.1623290003091,,,,0.5477683318813149,,
ASO433-456_WT_20210622,A19,ASO439_3,KQ2019_L21_6-10-5_3uM_P37,32.8503459701734,23.7171210680278,9.1332249021456,,,,0.5186642337178142,0.560623335857881,0.6780091574252737
ASO433-456_WT_20210622,A20,ASO439_3,KQ2019_L21_6-10-5_3uM_P37,32.8838128093288,23.6623345018106,9.2214783075182,,,,0.6069176390904154,,
ASO433-456_WT_20210622,A21,ASO439_3,KQ2019_L21_6-10-5_3uM_P37,32.8217807429376,23.6509319397444,9.170848803193199,,,,0.5562881347654134,,
ASO433-456_WT_20210622,A22,ASO439_3,KQ2019_L21_6-10-5_3uM_P37,33.159113966714,23.9877497287782,9.171364237935801,,,,0.5568035695080162,0.6160353614965489,0.6524614813467401
ASO433-456_WT_20210622,A23,ASO439_3,KQ2019_L21_6-10-5_3uM_P37,33.3892162345123,23.9679306109376,9.421285623574697,,,,0.8067249551469118,,
ASO433-456_WT_20210622,A24,ASO439_3,KQ2019_L21_6-10-5_3uM_P37,33.1419929445884,24.0428547163259,9.099138228262504,,,,0.48457755983471884,,
ASO433-456_WT_20210622,B13,ASO440_10,KQ2020_L19_5-10-4_10uM_P37,35.5353611490692,26.5154025073716,9.019958641697603,,,,0.4053979732698174,0.17462020680424808,0.8860007303849419
ASO433-456_WT_20210622,B14,ASO440_10,KQ2020_L19_5-10-4_10uM_P37,35.3988135118433,26.3662399609296,9.0325735509137,,,,0.4180128824859146,,
ASO433-456_WT_20210622,B15,ASO440_10,KQ2020_L19_5-10-4_10uM_P37,34.8368347130237,26.5218242799389,8.315010433084797,,,,-0.29955023534298775,,
ASO433-456_WT_20210622,B16,ASO440_10,KQ2020_L19_5-10-4_10uM_P37,36.0738505437174,27.0718936879774,9.001956855739998,,,,0.3873961873122127,0.5911701831406132,0.6638042709170389
ASO433-456_WT_20210622,B17,ASO440_10,KQ2020_L19_5-10-4_10uM_P37,35.9951102212557,27.0354176241777,8.959692597078,,,,0.3451319286502148,,
ASO433-456_WT_20210622,B18,ASO440_10,KQ2020_L19_5-10-4_10uM_P37,36.746009469261,27.0904663673738,9.655543101887197,,,,1.040982433459412,,
ASO433-456_WT_20210622,B19,ASO440_3,KQ2020_L19_5-10-4_3uM_P37,32.9868548621683,24.073553028419,8.913301833749301,,,,0.2987411653215162,0.17020126952148354,0.8887186879055412
ASO433-456_WT_20210622,B20,ASO440_3,KQ2020_L19_5-10-4_3uM_P37,32.7045653318437,24.0075729407442,8.696992391099503,,,,0.08243172267171772,,
ASO433-456_WT_20210622,B21,ASO440_3,KQ2020_L19_5-10-4_3uM_P37,32.8291274236305,24.0851358346315,8.743991588999002,,,,0.12943092057121675,,
ASO433-456_WT_20210622,B22,ASO440_3,KQ2020_L19_5-10-4_3uM_P37,33.5802361061011,24.3779664855458,9.202269620555295,,,,0.5877089521275103,0.6783601580652139,0.6248751363985428
ASO433-456_WT_20210622,B23,ASO440_3,KQ2020_L19_5-10-4_3uM_P37,33.6971667827955,24.2748709882566,9.4222957945389,,,,0.8077351261111154,,
ASO433-456_WT_20210622,B24,ASO440_3,KQ2020_L19_5-10-4_3uM_P37,33.5426623862038,24.288465321819,9.254197064384801,,,,0.6396363959570159,,
ASO433-456_WT_20210622,C13,ASO441_10,KQ2021_L21_6-10-5_10uM_P37,36.1121033692683,26.900414914349,9.211688454919297,,,,0.5971277864915123,0.9457417166944792,0.5191625717681603
ASO433-456_WT_20210622,C14,ASO441_10,KQ2021_L21_6-10-5_10uM_P37,36.224064130885,26.8038098759225,9.420254254962497,,,,0.8056935865347121,,
ASO433-456_WT_20210622,C15,ASO441_10,KQ2021_L21_6-10-5_10uM_P37,37.0279031313437,26.9789386858587,10.048964445484998,,,,1.434403777057213,,
ASO433-456_WT_20210622,C16,ASO441_10,KQ2021_L21_6-10-5_10uM_P37,36.9197035413698,27.154376950321,9.765326591048797,,,,1.1507659226210123,2.075636080510082,0.23723091268103122
ASO433-456_WT_20210622,C17,ASO441_10,KQ2021_L21_6-10-5_10uM_P37,38.7022733486086,27.1073985401837,11.594874808424901,,,,2.980314139997116,,
ASO433-456_WT_20210622,C18,ASO441_10,KQ2021_L21_6-10-5_10uM_P37,37.9068526448287,27.1964637974888,10.710388847339903,,,,2.095828178912118,,
ASO433-456_WT_20210622,C19,ASO441_3,KQ2021_L21_6-10-5_3uM_P37,34.023711672421,24.2748610603088,9.7488506121122,,,,1.134289943684415,0.8158443791872472,0.568075906372882
ASO433-456_WT_20210622,C20,ASO441_3,KQ2021_L21_6-10-5_3uM_P37,33.559118408633,24.2705498871823,9.288568521450696,,,,0.6740078530229106,,
ASO433-456_WT_20210622,C21,ASO441_3,KQ2021_L21_6-10-5_3uM_P37,33.5555609610822,24.3017649518,9.253796009282201,,,,0.639235340854416,,
ASO433-456_WT_20210622,C22,ASO441_3,KQ2021_L21_6-10-5_3uM_P37,34.4746915195118,24.3353167436304,10.1393747758814,,,,1.524814107453615,1.6588277950318482,0.31669636312572813
ASO433-456_WT_20210622,C23,ASO441_3,KQ2021_L21_6-10-5_3uM_P37,34.8675356949489,24.3380171299931,10.529518564955797,,,,1.914957896528012,,
ASO433-456_WT_20210622,C24,ASO441_3,KQ2021_L21_6-10-5_3uM_P37,34.5723164347659,24.4210443852242,10.151272049541703,,,,1.5367113811139177,,
ASO433-456_WT_20210622,D13,ASO442_10,KQ2022_L21_6-10-5_10uM_P37,37.9001175924698,28.1063550777123,9.793762514757496,,,,1.1792018463297111,0.2717731153461476,0.8283009133865804
ASO433-456_WT_20210622,D14,ASO442_10,KQ2022_L21_6-10-5_10uM_P37,36.8143546563495,28.1262426657907,8.688111990558802,,,,0.07355132213101712,,
ASO433-456_WT_20210622,D15,ASO442_10,KQ2022_L21_6-10-5_10uM_P37,36.3102407838527,28.1331139378472,8.1771268460055,,,,-0.43743382242228535,,
ASO433-456_WT_20210622,D16,ASO442_10,KQ2022_L21_6-10-5_10uM_P37,40.0,28.1241298113188,11.875870188681201,,,,3.261309520253416,2.0581647263205816,0.24012129747306446
ASO433-456_WT_20210622,D17,ASO442_10,KQ2022_L21_6-10-5_10uM_P37,39.1757996574499,28.1260604741041,11.0497391833458,,,,2.4351785149180145,,
ASO433-456_WT_20210622,D18,ASO442_10,KQ2022_L21_6-10-5_10uM_P37,37.2551226302731,28.162555818055,9.092566812218099,,,,0.4780061437903136,,
ASO433-456_WT_20210622,D19,ASO442_3,KQ2022_L21_6-10-5_3uM_P37,35.2556755964324,25.2595533337279,9.996122262704496,,,,1.381561594276711,1.3542214051086472,0.3911458585437416
ASO433-456_WT_20210622,D20,ASO442_3,KQ2022_L21_6-10-5_3uM_P37,35.3411076206229,25.2339536381511,10.1071539824718,,,,1.492593314044015,,
ASO433-456_WT_20210622,D21,ASO442_3,KQ2022_L21_6-10-5_3uM_P37,35.1086479915795,25.3055780161465,9.803069975433,,,,1.1885093070052157,,
ASO433-456_WT_20210622,D22,ASO442_3,KQ2022_L21_6-10-5_3uM_P37,34.597282393658,24.6352015672125,9.962080826445497,,,,1.347520158017712,1.414747071390579,0.37507549857599176
ASO433-456_WT_20210622,D23,ASO442_3,KQ2022_L21_6-10-5_3uM_P37,34.3826216199507,24.6295836782796,9.753037941671096,,,,1.1384772732433106,,
ASO433-456_WT_20210622,D24,ASO442_3,KQ2022_L21_6-10-5_3uM_P37,35.0884233307805,24.715618879442,10.3728044513385,,,,1.7582437829107143,,
