,Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt from Naive,Exp from Naive,Avg dCt Ionis676630,ddCt,Exp,Exp_std,Exp_zscore
52,Rd2.3_P5+6_WT_20210726,G4,Naive_P2.3-5,Naive_P2.3-5,6.552285246272099,0.1659630648996328,0.8913333150396889,7.044817435101206,-0.49253218882910677,1.4069120932309953,0.1427308781567961,2.299658867925861
53,Rd2.3_P5+6_WT_20210726,G10,Ionis1375651_3_P2.3-5,Ionis1375651_3uM_P2.3-5,8.445002479957502,2.058680298585036,0.24003550126583836,7.044817435101206,1.400185044856296,0.37888054203453014,0.06796874053816718,1.9429469976264762
54,Rd2.3_P5+6_WT_20210726,B22,KQ297_3_P2.3-5,KQ297_L20_5-10-5_3uM_P2.3-5,7.3281699506717,0.9418477692992342,0.520565725144621,7.044817435101206,0.28335251557049457,0.8216793893706509,0.07364586431031601,1.860412377886327
55,Rd2.3_P5+6_WT_20210726,C22,KQJM172_3_P2.3-5,KQJM172_L19_5-10-4_3uM_P2.3-5,6.967785340663003,0.5814631592905366,0.6682856684624419,7.044817435101206,-0.07703209443820302,1.054845783084977,0.056488789581350694,1.8191647101580046
56,Rd2.3_P5+6_Total_20210726,P13,Ionis676630_10_P2.3-6,Ionis676630_10uM_P2.3-6,5.722839103076602,-0.0061329083490226,1.0042600564828175,6.268628639559551,-0.5457895364829488,1.4598190335174568,0.46781807369652467,1.9219871375131614
57,Rd2.3_P5+6_Total_20210726,L15,KQ2026_10_P2.3-6,KQ2026_L21_6-10-5_10uM_P2.3-6,1.0330974972486011,-4.695874514177024,25.917856719261394,6.268628639559551,-5.23553114231095,37.6748834154228,20.807012146632477,2.0393662270291886
58,Rd2.3_P5+6_Total_20210726,N16,KQ271_10_P2.3-6,KQ271_L20_5-10-5_10uM_P2.3-6,8.575906951630099,2.8469349402044744,0.13899116249569782,6.268628639559551,2.3072783120705482,0.20204123741867544,0.05788706681782423,1.8239278309249585
59,Rd2.3_P5+6_Total_20210726,M11,KQ347_3_P2.3-6,KQ347_L20_5-10-5_3uM_P2.3-6,6.394294407105001,0.6653223956793761,0.6305477816354953,6.268628639559551,0.12566576754545,0.9165809664854018,0.09554384540824601,1.885718859165679
60,Rd2.3_P5+6_WT_20210726,P6,Naive_P2.3-6,Naive_P2.3-6,5.924505235389002,-0.5566273940207402,1.4708268251993983,6.999352836281642,-1.0748476008926398,2.1064995400529805,0.4967807866671942,2.6074376815361737
61,Rd2.3_P5+6_WT_20210726,O11,Ionis1375651_3_P2.3-6,Ionis1375651_3uM_P2.3-6,-9.271628486797798,,,6.999352836281642,-16.27098132307944,79077.59218916474,45655.16912639341,2.0412414523101754
