,Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt,Exp,Exp_std,Exp_zscore
2102,Rd2.3_P3+4_WT_20210726,M10,KQ956_3_P2.3-4,KQ956_L20_5-10-5_3uM_P2.3-4,7.926098829791698,1.2986232229926635,0.4065139530947464,0.02498469351177902,0.9385322942090768
2103,Rd2.3_P3+4_WT_20210726,M11,KQ956_3_P2.3-4,KQ956_L20_5-10-5_3uM_P2.3-4,7.967899608273601,1.3404240014745668,0.39490457822566727,0.02498469351177902,1.0131304118276763
2104,Rd2.3_P3+4_WT_20210726,M12,KQ956_3_P2.3-4,KQ956_L20_5-10-5_3uM_P2.3-4,7.802748803758401,1.1752731969593668,0.44279990049735907,0.02498469351177902,0.7053704398656553
2105,Rd2.3_P3+4_WT_20210726,M22,KQ956_3_P2.3-4,KQ956_L20_5-10-5_3uM_P2.3-4,7.046686046412102,0.4192104396130673,0.7478337879825724,0.05412341075307586,1.2546794398989285
2106,Rd2.3_P3+4_WT_20210726,M23,KQ956_3_P2.3-4,KQ956_L20_5-10-5_3uM_P2.3-4,7.270565842288999,0.6430902354899644,0.6403398784098465,0.05412341075307586,0.5639580703145086
2107,Rd2.3_P3+4_WT_20210726,M24,KQ956_3_P2.3-4,KQ956_L20_5-10-5_3uM_P2.3-4,7.177413817700501,0.5499382109014661,0.683049382031358,0.05412341075307586,0.8383956356889678
2108,Rd2.3_P3+4_WT_20210726,L4,KQ958_10_P2.3-4,KQ958_L20_5-10-5_10uM_P2.3-4,7.8281579514016,1.2006823446025656,0.43506946024814663,0.036922503607729515,0.8455763007750525
2109,Rd2.3_P3+4_WT_20210726,L5,KQ958_10_P2.3-4,KQ958_L20_5-10-5_10uM_P2.3-4,7.971026209296703,1.3435506024976682,0.39404966983415635,0.036922503607729515,1.2266729432813388
2110,Rd2.3_P3+4_WT_20210726,L6,KQ958_10_P2.3-4,KQ958_L20_5-10-5_10uM_P2.3-4,7.723705947126504,1.0962303403274696,0.46773706417172956,0.036922503607729515,0.5420761110286763
2111,Rd2.3_P3+4_WT_20210726,L16,KQ958_10_P2.3-4,KQ958_L20_5-10-5_10uM_P2.3-4,7.349586595393898,0.7221109885948636,0.6062097711513659,0.03472792418216913,0.7444122687534365
2112,Rd2.3_P3+4_WT_20210726,L17,KQ958_10_P2.3-4,KQ958_L20_5-10-5_10uM_P2.3-4,7.228324052996097,0.6008484461970625,0.6593660694145218,0.03472792418216913,1.2382638119159375
2113,Rd2.3_P3+4_WT_20210726,L18,KQ958_10_P2.3-4,KQ958_L20_5-10-5_10uM_P2.3-4,7.378764956852102,0.7512893500530673,0.5940723921291621,0.03472792418216913,0.6316492744156957
