Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt from Naive,Exp from Naive,Avg dCt Ionis676630,ddCt,Exp,Exp_zscore,Avg Exp_zscore,Avg_naive,Test plate #,Avg_plate,Min_plate,Max_plate,outliers removed by Exp_zscore: 375 greater than 1.8
ASO1-24_total_20210611,B6,ASO2_10,KQ380_10,7.668356836,1.535646062,0.344924841,6.701936805,0.966420031,,1.947309682,,,1,,,,
ASO1-24_MT_20210611,B1,ASO2_10,KQ380_10,6.83548972,0.2718932,0.828231972,6.923016948,-0.087527228,1.06254742,1.284855865,0.987964676,,1,,,,
ASO1-24_MT_20210611,B2,ASO2_10,KQ380_10,7.682180581,1.118584062,0.460545608,6.923016948,0.759163634,0.590838755,1.466635729,,,1,,,,
ASO1-24_MT_20210611,B3,ASO2_10,KQ380_10,7.109592814,0.545996295,0.684918249,6.923016948,0.186575867,0.878688753,0.212402433,,,1,,,,
ASO1-24_MT_20210611,B4,ASO2_10,KQ380_10,6.95553616,0.391939641,0.762104299,6.923016948,0.032519213,0.977711541,0.790005492,0.536877852,,1,,,,
ASO1-24_MT_20210611,B5,ASO2_10,KQ380_10,7.39937848,0.83578196,0.560279278,6.923016948,0.476361532,0.718788119,0.720303034,,,1,,,,
ASO1-24_MT_20210611,B6,ASO2_10,KQ380_10,7.200418798,0.636822278,0.643127962,6.923016948,0.27740185,0.825075559,0.100325028,,,1,,,,
ASO1-24_WT_20210611,B1,ASO2_10,KQ380_10,7.652521986,0.751578033,0.59395353,6.689220702,0.963301283,0.512881954,0.720911613,0.499840922,,1,,,,
ASO1-24_WT_20210611,B2,ASO2_10,KQ380_10,7.615583364,0.714639411,0.609357416,6.689220702,0.926362661,0.52618329,0.415811929,,,1,,,,
ASO1-24_WT_20210611,B3,ASO2_10,KQ380_10,7.525391844,0.624447891,0.64866797,6.689220702,0.836171142,0.560128157,0.362799224,,,1,,,,
ASO1-24_WT_20210611,B4,ASO2_10,KQ380_10,7.378200186,0.477256234,0.718342494,6.689220702,0.688979484,0.62029247,1.742819494,0.96650288,,1,,,,
ASO1-24_WT_20210611,B5,ASO2_10,KQ380_10,7.695069412,0.794125459,0.57669265,6.689220702,1.005848709,0.497977095,1.062792161,,,1,,,,
ASO1-24_WT_20210611,B6,ASO2_10,KQ380_10,7.555907308,0.654963356,0.635091622,6.689220702,0.866686606,0.54840491,0.093896985,,,1,,,,
