SampleName,ASO Microsynth ID,Test plate #,Avg Exp,Tier
ASO350_10,KQJM096_L17_4-10-3_10uM_P30,30,0.5876677763333333,
ASO350_3,KQJM096_L17_4-10-3_3uM_P30,30,1.1118958363333333,
ASO351_10,KQJM097_L17_5-08-4_10uM_P30,30,1.0107270393333334,
ASO351_3,KQJM097_L17_5-08-4_3uM_P30,30,1.2401813806666666,
ASO352_10,KQJM098_L18_4-10-4_10uM_P30,30,1.2970143533333334,
ASO352_3,KQJM098_L18_4-10-4_3uM_P30,30,1.093381752,
ASO354_3,KQJM155_L17_4-10-3_3uM_P30,30,1.6069739673333334,
ASO355_10,KQJM156_L18_5-08-5_10uM_P30,30,0.9882591536666666,
ASO356_10,KQJM157_L17_5-08-4_10uM_P30,30,1.246868669333333,
ASO356_3,KQJM157_L17_5-08-4_3uM_P30,30,1.609988558666667,
ASO357_10,KQJM158_L18_5-08-5_10uM_P30,30,2.382964842333333,
ASO357_3,KQJM158_L18_5-08-5_3uM_P30,30,2.3422242416666665,
ASO358_10,KQJM159_L19_5-10-4_10uM_P30,30,3.6556152103333335,
ASO358_3,KQJM159_L19_5-10-4_3uM_P30,30,2.9485329733333336,
ASO359_3,KQJM160_L19_6-08-5_3uM_P30,30,1.5174997676666668,
ASO35_10,KQ905_10,3,2.007346596666667,
ASO35_3,KQ905_3,3,1.3775789776666667,
ASO360_10,KQJM161_L18_4-10-4_10uM_P30,30,0.9017911249999999,
ASO360_3,KQJM161_L18_4-10-4_3uM_P30,30,1.0923574543333332,
ASO361_10,KQJM120_L18_5-08-5_10uM_P31,31,0.8443744343333334,
ASO361_3,KQJM120_L18_5-08-5_3uM_P31,31,1.121794317,
